"","x"
"1","ENSP00000009530"
"2","ENSP00000011473"
"3","ENSP00000085219"
"4","ENSP00000221972"
"5","ENSP00000224337"
"6","ENSP00000236147"
"7","ENSP00000246657"
"8","ENSP00000248948"
"9","ENSP00000257749"
"10","ENSP00000259089"
"11","ENSP00000261652"
"12","ENSP00000262067"
"13","ENSP00000264072"
"14","ENSP00000264538"
"15","ENSP00000265769"
"16","ENSP00000267970"
"17","ENSP00000268638"
"18","ENSP00000286621"
"19","ENSP00000289473"
"20","ENSP00000291232"
"21","ENSP00000292174"
"22","ENSP00000295958"
"23","ENSP00000302543"
"24","ENSP00000303920"
"25","ENSP00000315630"
"26","ENSP00000320509"
"27","ENSP00000325708"
"28","ENSP00000333919"
"29","ENSP00000339398"
"30","ENSP00000340874"
"31","ENSP00000349181"
"32","ENSP00000350844"
"33","ENSP00000356607"
"34","ENSP00000356828"
"35","ENSP00000356918"
"36","ENSP00000356936"
"37","ENSP00000357158"
"38","ENSP00000361359"
"39","ENSP00000361980"
"40","ENSP00000363330"
"41","ENSP00000368450"
"42","ENSP00000368831"
"43","ENSP00000369286"
"44","ENSP00000371594"
"45","ENSP00000376544"
"46","ENSP00000376786"
"47","ENSP00000378611"
"48","ENSP00000378786"
"49","ENSP00000379111"
"50","ENSP00000379888"
"51","ENSP00000379980"
"52","ENSP00000381382"
"53","ENSP00000385036"
"54","ENSP00000386834"
"55","ENSP00000389745"
"56","ENSP00000390020"
"57","ENSP00000398890"
"58","ENSP00000410481"
"59","ENSP00000429309"
"60","ENSP00000431254"
"61","ENSP00000431603"
"62","ENSP00000433277"
"63","ENSP00000437940"
"64","ENSP00000471921"
"65","ENSP00000472985"
"66","ENSP00000483570"
"67","ENSP00000254801"
"68","ENSP00000356058"
"69","ENSP00000392553"
"70","ENSP00000335040"
"71","ENSP00000396935"
"72","ENSP00000427223"
