"","x"
"1","ENSP00000000412"
"2","ENSP00000171111"
"3","ENSP00000216200"
"4","ENSP00000217169"
"5","ENSP00000219476"
"6","ENSP00000220763"
"7","ENSP00000225899"
"8","ENSP00000236671"
"9","ENSP00000241261"
"10","ENSP00000248553"
"11","ENSP00000254579"
"12","ENSP00000256474"
"13","ENSP00000257555"
"14","ENSP00000258439"
"15","ENSP00000261313"
"16","ENSP00000261558"
"17","ENSP00000261693"
"18","ENSP00000261937"
"19","ENSP00000263097"
"20","ENSP00000263373"
"21","ENSP00000263734"
"22","ENSP00000263867"
"23","ENSP00000263923"
"24","ENSP00000263967"
"25","ENSP00000264381"
"26","ENSP00000264709"
"27","ENSP00000265944"
"28","ENSP00000269305"
"29","ENSP00000269571"
"30","ENSP00000271526"
"31","ENSP00000273077"
"32","ENSP00000274063"
"33","ENSP00000278568"
"34","ENSP00000278616"
"35","ENSP00000281047"
"36","ENSP00000282397"
"37","ENSP00000283109"
"38","ENSP00000285071"
"39","ENSP00000286628"
"40","ENSP00000293441"
"41","ENSP00000295408"
"42","ENSP00000295600"
"43","ENSP00000297185"
"44","ENSP00000297405"
"45","ENSP00000297785"
"46","ENSP00000298552"
"47","ENSP00000298910"
"48","ENSP00000299529"
"49","ENSP00000301633"
"50","ENSP00000302562"
"51","ENSP00000303211"
"52","ENSP00000303252"
"53","ENSP00000304051"
"54","ENSP00000304915"
"55","ENSP00000305918"
"56","ENSP00000306561"
"57","ENSP00000307241"
"58","ENSP00000307411"
"59","ENSP00000307940"
"60","ENSP00000311469"
"61","ENSP00000312664"
"62","ENSP00000314129"
"63","ENSP00000315167"
"64","ENSP00000317272"
"65","ENSP00000318884"
"66","ENSP00000320485"
"67","ENSP00000328397"
"68","ENSP00000329243"
"69","ENSP00000337797"
"70","ENSP00000341565"
"71","ENSP00000344609"
"72","ENSP00000344666"
"73","ENSP00000345672"
"74","ENSP00000346667"
"75","ENSP00000347730"
"76","ENSP00000350719"
"77","ENSP00000352516"
"78","ENSP00000352608"
"79","ENSP00000354558"
"80","ENSP00000354718"
"81","ENSP00000355330"
"82","ENSP00000355518"
"83","ENSP00000356438"
"84","ENSP00000357076"
"85","ENSP00000357470"
"86","ENSP00000359077"
"87","ENSP00000359935"
"88","ENSP00000360120"
"89","ENSP00000361021"
"90","ENSP00000361107"
"91","ENSP00000361499"
"92","ENSP00000362413"
"93","ENSP00000363134"
"94","ENSP00000363512"
"95","ENSP00000364035"
"96","ENSP00000364550"
"97","ENSP00000366280"
"98","ENSP00000367203"
"99","ENSP00000367263"
"100","ENSP00000367615"
"101","ENSP00000369375"
"102","ENSP00000369554"
"103","ENSP00000370543"
"104","ENSP00000373620"
"105","ENSP00000373700"
"106","ENSP00000374135"
"107","ENSP00000375653"
"108","ENSP00000377833"
"109","ENSP00000378307"
"110","ENSP00000378974"
"111","ENSP00000379111"
"112","ENSP00000379386"
"113","ENSP00000379506"
"114","ENSP00000379689"
"115","ENSP00000379691"
"116","ENSP00000380150"
"117","ENSP00000381007"
"118","ENSP00000381607"
"119","ENSP00000384092"
"120","ENSP00000384273"
"121","ENSP00000384296"
"122","ENSP00000385675"
"123","ENSP00000386135"
"124","ENSP00000386284"
"125","ENSP00000386759"
"126","ENSP00000389814"
"127","ENSP00000394484"
"128","ENSP00000397655"
"129","ENSP00000401445"
"130","ENSP00000403459"
"131","ENSP00000404854"
"132","ENSP00000406022"
"133","ENSP00000406472"
"134","ENSP00000416293"
"135","ENSP00000417132"
"136","ENSP00000417480"
"137","ENSP00000417498"
"138","ENSP00000425487"
"139","ENSP00000433560"
"140","ENSP00000438788"
"141","ENSP00000439068"
"142","ENSP00000442788"
"143","ENSP00000445675"
"144","ENSP00000446252"
"145","ENSP00000448165"
"146","ENSP00000449404"
"147","ENSP00000452277"
"148","ENSP00000478570"
"149","ENSP00000480291"
"150","ENSP00000261038"
"151","ENSP00000349458"
"152","ENSP00000425634"
"153","ENSP00000478121"
