"","x"
"1","ENSP00000203629"
"2","ENSP00000216338"
"3","ENSP00000221978"
"4","ENSP00000229135"
"5","ENSP00000231009"
"6","ENSP00000240100"
"7","ENSP00000259608"
"8","ENSP00000261340"
"9","ENSP00000266557"
"10","ENSP00000274306"
"11","ENSP00000288943"
"12","ENSP00000294728"
"13","ENSP00000300692"
"14","ENSP00000305529"
"15","ENSP00000311035"
"16","ENSP00000311300"
"17","ENSP00000312002"
"18","ENSP00000314157"
"19","ENSP00000325589"
"20","ENSP00000325905"
"21","ENSP00000335062"
"22","ENSP00000337825"
"23","ENSP00000344479"
"24","ENSP00000353025"
"25","ENSP00000354566"
"26","ENSP00000354842"
"27","ENSP00000356429"
"28","ENSP00000358490"
"29","ENSP00000362395"
"30","ENSP00000362795"
"31","ENSP00000363318"
"32","ENSP00000374443"
"33","ENSP00000385057"
"34","ENSP00000386559"
"35","ENSP00000388620"
"36","ENSP00000390625"
"37","ENSP00000410452"
"38","ENSP00000418348"
"39","ENSP00000420384"
"40","ENSP00000431445"
"41","ENSP00000432218"
"42","ENSP00000474412"
"43","ENSP00000478699"
"44","ENSP00000482259"
"45","ENSP00000331172"
"46","ENSP00000483609"
