"","x"
"1","ENSP00000009530"
"2","ENSP00000029410"
"3","ENSP00000033079"
"4","ENSP00000046794"
"5","ENSP00000176763"
"6","ENSP00000194152"
"7","ENSP00000194155"
"8","ENSP00000199814"
"9","ENSP00000200652"
"10","ENSP00000230671"
"11","ENSP00000230732"
"12","ENSP00000230771"
"13","ENSP00000230990"
"14","ENSP00000231061"
"15","ENSP00000231121"
"16","ENSP00000231130"
"17","ENSP00000231134"
"18","ENSP00000231136"
"19","ENSP00000231137"
"20","ENSP00000231173"
"21","ENSP00000231188"
"22","ENSP00000231198"
"23","ENSP00000231228"
"24","ENSP00000231238"
"25","ENSP00000231449"
"26","ENSP00000231454"
"27","ENSP00000231484"
"28","ENSP00000231487"
"29","ENSP00000231509"
"30","ENSP00000231512"
"31","ENSP00000231656"
"32","ENSP00000231668"
"33","ENSP00000239223"
"34","ENSP00000239231"
"35","ENSP00000239243"
"36","ENSP00000239440"
"37","ENSP00000239444"
"38","ENSP00000239446"
"39","ENSP00000239449"
"40","ENSP00000239450"
"41","ENSP00000239451"
"42","ENSP00000239906"
"43","ENSP00000239926"
"44","ENSP00000239938"
"45","ENSP00000243389"
"46","ENSP00000245407"
"47","ENSP00000245414"
"48","ENSP00000247461"
"49","ENSP00000251582"
"50","ENSP00000252085"
"51","ENSP00000252087"
"52","ENSP00000252100"
"53","ENSP00000252102"
"54","ENSP00000253496"
"55","ENSP00000253754"
"56","ENSP00000253778"
"57","ENSP00000253807"
"58","ENSP00000253812"
"59","ENSP00000253814"
"60","ENSP00000254900"
"61","ENSP00000255262"
"62","ENSP00000255266"
"63","ENSP00000256935"
"64","ENSP00000257527"
"65","ENSP00000261796"
"66","ENSP00000261797"
"67","ENSP00000261799"
"68","ENSP00000261800"
"69","ENSP00000261811"
"70","ENSP00000261813"
"71","ENSP00000261937"
"72","ENSP00000261942"
"73","ENSP00000265007"
"74","ENSP00000265085"
"75","ENSP00000265087"
"76","ENSP00000265094"
"77","ENSP00000265097"
"78","ENSP00000265191"
"79","ENSP00000265271"
"80","ENSP00000265295"
"81","ENSP00000265333"
"82","ENSP00000265334"
"83","ENSP00000265339"
"84","ENSP00000265340"
"85","ENSP00000265343"
"86","ENSP00000274487"
"87","ENSP00000274496"
"88","ENSP00000274498"
"89","ENSP00000274507"
"90","ENSP00000274520"
"91","ENSP00000274532"
"92","ENSP00000274545"
"93","ENSP00000274547"
"94","ENSP00000274565"
"95","ENSP00000274569"
"96","ENSP00000274605"
"97","ENSP00000274606"
"98","ENSP00000274625"
"99","ENSP00000274629"
"100","ENSP00000274710"
"101","ENSP00000274711"
"102","ENSP00000274712"
"103","ENSP00000274721"
"104","ENSP00000274773"
"105","ENSP00000274787"
"106","ENSP00000274811"
"107","ENSP00000282611"
"108","ENSP00000285873"
"109","ENSP00000286298"
"110","ENSP00000286301"
"111","ENSP00000286307"
"112","ENSP00000286317"
"113","ENSP00000287008"
"114","ENSP00000289269"
"115","ENSP00000289272"
"116","ENSP00000289448"
"117","ENSP00000290431"
"118","ENSP00000292385"
"119","ENSP00000292408"
"120","ENSP00000292432"
"121","ENSP00000292596"
"122","ENSP00000292599"
"123","ENSP00000292641"
"124","ENSP00000296694"
"125","ENSP00000296695"
"126","ENSP00000296702"
"127","ENSP00000296721"
"128","ENSP00000296736"
"129","ENSP00000296786"
"130","ENSP00000296859"
"131","ENSP00000296870"
"132","ENSP00000296871"
"133","ENSP00000296877"
"134","ENSP00000296921"
"135","ENSP00000296930"
"136","ENSP00000296953"
"137","ENSP00000297107"
"138","ENSP00000297109"
"139","ENSP00000297130"
"140","ENSP00000297151"
"141","ENSP00000297156"
"142","ENSP00000297164"
"143","ENSP00000297185"
"144","ENSP00000298569"
"145","ENSP00000302114"
"146","ENSP00000302543"
"147","ENSP00000302629"
"148","ENSP00000302843"
"149","ENSP00000302851"
"150","ENSP00000302961"
"151","ENSP00000302967"
"152","ENSP00000303366"
"153","ENSP00000303920"
"154","ENSP00000304229"
"155","ENSP00000304234"
"156","ENSP00000304236"
"157","ENSP00000304286"
"158","ENSP00000304376"
"159","ENSP00000304669"
"160","ENSP00000304854"
"161","ENSP00000304915"
"162","ENSP00000305151"
"163","ENSP00000305372"
"164","ENSP00000305839"
"165","ENSP00000306662"
"166","ENSP00000306918"
"167","ENSP00000307234"
"168","ENSP00000308057"
"169","ENSP00000308472"
"170","ENSP00000308496"
"171","ENSP00000308733"
"172","ENSP00000309036"
"173","ENSP00000309087"
"174","ENSP00000309415"
"175","ENSP00000309644"
"176","ENSP00000309714"
"177","ENSP00000310594"
"178","ENSP00000310978"
"179","ENSP00000311290"
"180","ENSP00000311687"
"181","ENSP00000312002"
"182","ENSP00000312070"
"183","ENSP00000312397"
"184","ENSP00000312403"
"185","ENSP00000312649"
"186","ENSP00000312709"
"187","ENSP00000313600"
"188","ENSP00000315370"
"189","ENSP00000316042"
"190","ENSP00000316905"
"191","ENSP00000316948"
"192","ENSP00000317580"
"193","ENSP00000317891"
"194","ENSP00000320604"
"195","ENSP00000320869"
"196","ENSP00000321424"
"197","ENSP00000321656"
"198","ENSP00000322898"
"199","ENSP00000322956"
"200","ENSP00000323714"
"201","ENSP00000324064"
"202","ENSP00000324870"
"203","ENSP00000325425"
"204","ENSP00000325594"
"205","ENSP00000326249"
"206","ENSP00000326563"
"207","ENSP00000327143"
"208","ENSP00000327168"
"209","ENSP00000327344"
"210","ENSP00000327758"
"211","ENSP00000328083"
"212","ENSP00000329558"
"213","ENSP00000330200"
"214","ENSP00000330945"
"215","ENSP00000332164"
"216","ENSP00000332185"
"217","ENSP00000332706"
"218","ENSP00000332737"
"219","ENSP00000333395"
"220","ENSP00000334223"
"221","ENSP00000335675"
"222","ENSP00000336721"
"223","ENSP00000337065"
"224","ENSP00000337122"
"225","ENSP00000337513"
"226","ENSP00000338343"
"227","ENSP00000338487"
"228","ENSP00000340347"
"229","ENSP00000340887"
"230","ENSP00000341597"
"231","ENSP00000341787"
"232","ENSP00000342075"
"233","ENSP00000342197"
"234","ENSP00000343690"
"235","ENSP00000344635"
"236","ENSP00000344844"
"237","ENSP00000344967"
"238","ENSP00000346378"
"239","ENSP00000346550"
"240","ENSP00000346802"
"241","ENSP00000347586"
"242","ENSP00000348099"
"243","ENSP00000349168"
"244","ENSP00000349291"
"245","ENSP00000349459"
"246","ENSP00000349687"
"247","ENSP00000349727"
"248","ENSP00000350869"
"249","ENSP00000351100"
"250","ENSP00000351108"
"251","ENSP00000351157"
"252","ENSP00000351379"
"253","ENSP00000352544"
"254","ENSP00000352936"
"255","ENSP00000353741"
"256","ENSP00000353915"
"257","ENSP00000354085"
"258","ENSP00000354346"
"259","ENSP00000354425"
"260","ENSP00000354453"
"261","ENSP00000354910"
"262","ENSP00000358815"
"263","ENSP00000366173"
"264","ENSP00000366434"
"265","ENSP00000366506"
"266","ENSP00000366942"
"267","ENSP00000367028"
"268","ENSP00000367139"
"269","ENSP00000367214"
"270","ENSP00000367590"
"271","ENSP00000367939"
"272","ENSP00000367942"
"273","ENSP00000367950"
"274","ENSP00000367965"
"275","ENSP00000368100"
"276","ENSP00000368566"
"277","ENSP00000368688"
"278","ENSP00000373477"
"279","ENSP00000374455"
"280","ENSP00000375069"
"281","ENSP00000377024"
"282","ENSP00000377037"
"283","ENSP00000377353"
"284","ENSP00000377374"
"285","ENSP00000377381"
"286","ENSP00000377492"
"287","ENSP00000377536"
"288","ENSP00000377545"
"289","ENSP00000377547"
"290","ENSP00000377549"
"291","ENSP00000377681"
"292","ENSP00000377789"
"293","ENSP00000377895"
"294","ENSP00000377936"
"295","ENSP00000378028"
"296","ENSP00000378077"
"297","ENSP00000378275"
"298","ENSP00000378294"
"299","ENSP00000378350"
"300","ENSP00000378356"
"301","ENSP00000378401"
"302","ENSP00000378427"
"303","ENSP00000381247"
"304","ENSP00000381412"
"305","ENSP00000381535"
"306","ENSP00000381565"
"307","ENSP00000381589"
"308","ENSP00000381594"
"309","ENSP00000381605"
"310","ENSP00000381611"
"311","ENSP00000381628"
"312","ENSP00000381636"
"313","ENSP00000381717"
"314","ENSP00000381823"
"315","ENSP00000384999"
"316","ENSP00000385432"
"317","ENSP00000385808"
"318","ENSP00000385958"
"319","ENSP00000386184"
"320","ENSP00000386229"
"321","ENSP00000387027"
"322","ENSP00000387875"
"323","ENSP00000393097"
"324","ENSP00000394183"
"325","ENSP00000394560"
"326","ENSP00000395929"
"327","ENSP00000396301"
"328","ENSP00000397178"
"329","ENSP00000398655"
"330","ENSP00000399259"
"331","ENSP00000401867"
"332","ENSP00000404102"
"333","ENSP00000404718"
"334","ENSP00000410732"
"335","ENSP00000411506"
"336","ENSP00000411593"
"337","ENSP00000413049"
"338","ENSP00000414886"
"339","ENSP00000414887"
"340","ENSP00000414906"
"341","ENSP00000414920"
"342","ENSP00000416033"
"343","ENSP00000416330"
"344","ENSP00000416534"
"345","ENSP00000418447"
"346","ENSP00000420840"
"347","ENSP00000420875"
"348","ENSP00000421048"
"349","ENSP00000421544"
"350","ENSP00000421689"
"351","ENSP00000421871"
"352","ENSP00000421917"
"353","ENSP00000421985"
"354","ENSP00000422131"
"355","ENSP00000422753"
"356","ENSP00000423276"
"357","ENSP00000423660"
"358","ENSP00000423674"
"359","ENSP00000423820"
"360","ENSP00000424497"
"361","ENSP00000424565"
"362","ENSP00000424566"
"363","ENSP00000425394"
"364","ENSP00000426070"
"365","ENSP00000426548"
"366","ENSP00000426653"
"367","ENSP00000427421"
"368","ENSP00000427661"
"369","ENSP00000427772"
"370","ENSP00000427975"
"371","ENSP00000428220"
"372","ENSP00000428223"
"373","ENSP00000428288"
"374","ENSP00000428603"
"375","ENSP00000428994"
"376","ENSP00000429018"
"377","ENSP00000429273"
"378","ENSP00000429601"
"379","ENSP00000429690"
"380","ENSP00000429808"
"381","ENSP00000429824"
"382","ENSP00000429834"
"383","ENSP00000430024"
"384","ENSP00000430100"
"385","ENSP00000430237"
"386","ENSP00000430493"
"387","ENSP00000430598"
"388","ENSP00000430955"
"389","ENSP00000431040"
"390","ENSP00000431083"
"391","ENSP00000431748"
"392","ENSP00000433378"
"393","ENSP00000433511"
"394","ENSP00000434655"
"395","ENSP00000435300"
"396","ENSP00000436042"
"397","ENSP00000436426"
"398","ENSP00000436557"
"399","ENSP00000436897"
"400","ENSP00000440509"
"401","ENSP00000445366"
"402","ENSP00000458570"
"403","ENSP00000460274"
"404","ENSP00000461862"
"405","ENSP00000471984"
"406","ENSP00000477314"
"407","ENSP00000478257"
"408","ENSP00000479248"
"409","ENSP00000480791"
"410","ENSP00000480832"
"411","ENSP00000483005"
"412","ENSP00000292586"
"413","ENSP00000231572"
"414","ENSP00000307722"
"415","ENSP00000331288"
"416","ENSP00000367991"
"417","ENSP00000366582"
"418","ENSP00000377954"
"419","ENSP00000454268"
"420","ENSP00000396225"
"421","ENSP00000425634"
"422","ENSP00000426909"
"423","ENSP00000423563"
"424","ENSP00000305596"
"425","ENSP00000331214"
"426","ENSP00000402151"
"427","ENSP00000427684"
"428","ENSP00000429430"
"429","ENSP00000432016"
"430","ENSP00000441954"
"431","ENSP00000444645"
"432","ENSP00000473383"
"433","ENSP00000478258"
"434","ENSP00000478606"
"435","ENSP00000479243"
"436","ENSP00000430774"
"437","ENSP00000426948"
"438","ENSP00000475384"
