"","x"
"1","ENSP00000002829"
"2","ENSP00000157600"
"3","ENSP00000164024"
"4","ENSP00000170447"
"5","ENSP00000203407"
"6","ENSP00000205636"
"7","ENSP00000207870"
"8","ENSP00000231721"
"9","ENSP00000231749"
"10","ENSP00000231751"
"11","ENSP00000231790"
"12","ENSP00000231948"
"13","ENSP00000232375"
"14","ENSP00000232461"
"15","ENSP00000232496"
"16","ENSP00000232501"
"17","ENSP00000232766"
"18","ENSP00000232888"
"19","ENSP00000232905"
"20","ENSP00000232974"
"21","ENSP00000232975"
"22","ENSP00000232978"
"23","ENSP00000233027"
"24","ENSP00000245046"
"25","ENSP00000250863"
"26","ENSP00000251607"
"27","ENSP00000251849"
"28","ENSP00000253686"
"29","ENSP00000253693"
"30","ENSP00000253697"
"31","ENSP00000254480"
"32","ENSP00000254488"
"33","ENSP00000254508"
"34","ENSP00000256458"
"35","ENSP00000256460"
"36","ENSP00000256474"
"37","ENSP00000256495"
"38","ENSP00000256496"
"39","ENSP00000256497"
"40","ENSP00000256509"
"41","ENSP00000263754"
"42","ENSP00000264454"
"43","ENSP00000264634"
"44","ENSP00000264741"
"45","ENSP00000264926"
"46","ENSP00000265560"
"47","ENSP00000265562"
"48","ENSP00000265563"
"49","ENSP00000265564"
"50","ENSP00000265565"
"51","ENSP00000266014"
"52","ENSP00000266022"
"53","ENSP00000266025"
"54","ENSP00000266031"
"55","ENSP00000266037"
"56","ENSP00000266041"
"57","ENSP00000272902"
"58","ENSP00000273047"
"59","ENSP00000273130"
"60","ENSP00000273153"
"61","ENSP00000273158"
"62","ENSP00000273173"
"63","ENSP00000273179"
"64","ENSP00000273183"
"65","ENSP00000273283"
"66","ENSP00000273286"
"67","ENSP00000273317"
"68","ENSP00000273320"
"69","ENSP00000273588"
"70","ENSP00000273590"
"71","ENSP00000273596"
"72","ENSP00000273598"
"73","ENSP00000273610"
"74","ENSP00000280700"
"75","ENSP00000280701"
"76","ENSP00000281523"
"77","ENSP00000282538"
"78","ENSP00000282541"
"79","ENSP00000283629"
"80","ENSP00000283713"
"81","ENSP00000284995"
"82","ENSP00000285018"
"83","ENSP00000285021"
"84","ENSP00000285046"
"85","ENSP00000285083"
"86","ENSP00000287585"
"87","ENSP00000287647"
"88","ENSP00000287652"
"89","ENSP00000287675"
"90","ENSP00000287748"
"91","ENSP00000287766"
"92","ENSP00000287777"
"93","ENSP00000287814"
"94","ENSP00000287820"
"95","ENSP00000288139"
"96","ENSP00000288167"
"97","ENSP00000288221"
"98","ENSP00000288266"
"99","ENSP00000292246"
"100","ENSP00000292301"
"101","ENSP00000292303"
"102","ENSP00000292314"
"103","ENSP00000294129"
"104","ENSP00000295736"
"105","ENSP00000295757"
"106","ENSP00000295767"
"107","ENSP00000295770"
"108","ENSP00000295824"
"109","ENSP00000295934"
"110","ENSP00000295951"
"111","ENSP00000295981"
"112","ENSP00000296003"
"113","ENSP00000296088"
"114","ENSP00000296091"
"115","ENSP00000296121"
"116","ENSP00000296125"
"117","ENSP00000296127"
"118","ENSP00000296129"
"119","ENSP00000296130"
"120","ENSP00000296135"
"121","ENSP00000296137"
"122","ENSP00000296140"
"123","ENSP00000296142"
"124","ENSP00000296145"
"125","ENSP00000296149"
"126","ENSP00000296292"
