"","x"
"1","ENSP00000014914"
"2","ENSP00000023064"
"3","ENSP00000156471"
"4","ENSP00000161559"
"5","ENSP00000168148"
"6","ENSP00000171887"
"7","ENSP00000199280"
"8","ENSP00000200652"
"9","ENSP00000201647"
"10","ENSP00000203407"
"11","ENSP00000211998"
"12","ENSP00000215531"
"13","ENSP00000215582"
"14","ENSP00000216200"
"15","ENSP00000216286"
"16","ENSP00000216297"
"17","ENSP00000216780"
"18","ENSP00000218099"
"19","ENSP00000221130"
"20","ENSP00000221166"
"21","ENSP00000222374"
"22","ENSP00000222399"
"23","ENSP00000225174"
"24","ENSP00000225698"
"25","ENSP00000228705"
"26","ENSP00000230431"
"27","ENSP00000231021"
"28","ENSP00000231420"
"29","ENSP00000231887"
"30","ENSP00000232496"
"31","ENSP00000235835"
"32","ENSP00000236495"
"33","ENSP00000244137"
"34","ENSP00000244565"
"35","ENSP00000245222"
"36","ENSP00000246024"
"37","ENSP00000246914"
"38","ENSP00000247226"
"39","ENSP00000248444"
"40","ENSP00000248633"
"41","ENSP00000249344"
"42","ENSP00000249356"
"43","ENSP00000249501"
"44","ENSP00000252699"
"45","ENSP00000252825"
"46","ENSP00000253413"
"47","ENSP00000256509"
"48","ENSP00000256594"
"49","ENSP00000257290"
"50","ENSP00000257414"
"51","ENSP00000257566"
"52","ENSP00000257905"
"53","ENSP00000260187"
"54","ENSP00000260599"
"55","ENSP00000260649"
"56","ENSP00000261183"
"57","ENSP00000261439"
"58","ENSP00000261517"
"59","ENSP00000261733"
"60","ENSP00000261799"
"61","ENSP00000261889"
"62","ENSP00000262188"
"63","ENSP00000262483"
"64","ENSP00000262613"
"65","ENSP00000263125"
"66","ENSP00000263182"
"67","ENSP00000263207"
"68","ENSP00000263246"
"69","ENSP00000263334"
"70","ENSP00000263373"
"71","ENSP00000263707"
"72","ENSP00000263816"
"73","ENSP00000263847"
"74","ENSP00000263915"
"75","ENSP00000263925"
"76","ENSP00000264059"
"77","ENSP00000264360"
"78","ENSP00000264601"
"79","ENSP00000264674"
"80","ENSP00000264734"
"81","ENSP00000264867"
"82","ENSP00000264932"
"83","ENSP00000264938"
"84","ENSP00000264990"
"85","ENSP00000265276"
"86","ENSP00000265322"
"87","ENSP00000265333"
"88","ENSP00000265381"
"89","ENSP00000265594"
"90","ENSP00000265717"
"91","ENSP00000265773"
"92","ENSP00000266560"
"93","ENSP00000267814"
"94","ENSP00000267842"
"95","ENSP00000268150"
"96","ENSP00000268933"
"97","ENSP00000269141"
"98","ENSP00000269980"
"99","ENSP00000270142"
"100","ENSP00000270586"
"101","ENSP00000270722"
"102","ENSP00000271636"
"103","ENSP00000271688"
"104","ENSP00000272203"
"105","ENSP00000272252"
"106","ENSP00000272425"
"107","ENSP00000273450"
"108","ENSP00000273588"
"109","ENSP00000273668"
"110","ENSP00000274353"
"111","ENSP00000274364"
