"","x"
"1","ENSP00000005178"
"2","ENSP00000005587"
"3","ENSP00000019317"
"4","ENSP00000046794"
"5","ENSP00000053867"
"6","ENSP00000075120"
"7","ENSP00000158166"
"8","ENSP00000161863"
"9","ENSP00000167106"
"10","ENSP00000171887"
"11","ENSP00000176763"
"12","ENSP00000200181"
"13","ENSP00000203556"
"14","ENSP00000204961"
"15","ENSP00000211287"
"16","ENSP00000215832"
"17","ENSP00000215957"
"18","ENSP00000216392"
"19","ENSP00000216962"
"20","ENSP00000220597"
"21","ENSP00000220751"
"22","ENSP00000222547"
"23","ENSP00000222693"
"24","ENSP00000223145"
"25","ENSP00000226253"
"26","ENSP00000227868"
"27","ENSP00000228251"
"28","ENSP00000230340"
"29","ENSP00000233143"
"30","ENSP00000234313"
"31","ENSP00000234454"
"32","ENSP00000234590"
"33","ENSP00000237536"
"34","ENSP00000237642"
"35","ENSP00000242728"
"36","ENSP00000243326"
"37","ENSP00000245620"
"38","ENSP00000245908"
"39","ENSP00000248553"
"40","ENSP00000248594"
"41","ENSP00000249396"
"42","ENSP00000249806"
"43","ENSP00000250617"
"44","ENSP00000251166"
"45","ENSP00000253792"
"46","ENSP00000255120"
"47","ENSP00000255448"
"48","ENSP00000256935"
"49","ENSP00000256996"
"50","ENSP00000257414"
"51","ENSP00000258201"
"52","ENSP00000258390"
"53","ENSP00000258526"
"54","ENSP00000258729"
"55","ENSP00000258787"
"56","ENSP00000258991"
"57","ENSP00000260270"
"58","ENSP00000260746"
"59","ENSP00000260983"
"60","ENSP00000261211"
"61","ENSP00000261486"
"62","ENSP00000261596"
"63","ENSP00000261623"
"64","ENSP00000261693"
"65","ENSP00000261978"
"66","ENSP00000262101"
"67","ENSP00000262105"
"68","ENSP00000262262"
"69","ENSP00000262370"
"70","ENSP00000262418"
"71","ENSP00000262710"
"72","ENSP00000262878"
"73","ENSP00000263274"
"74","ENSP00000263277"
"75","ENSP00000263461"
"76","ENSP00000263674"
"77","ENSP00000263734"
"78","ENSP00000263816"
"79","ENSP00000263974"
"80","ENSP00000264009"
"81","ENSP00000264036"
"82","ENSP00000264156"
"83","ENSP00000264344"
"84","ENSP00000264431"
"85","ENSP00000264436"
"86","ENSP00000264605"
"87","ENSP00000264832"
"88","ENSP00000265023"
"89","ENSP00000265056"
"90","ENSP00000265062"
"91","ENSP00000265077"
"92","ENSP00000265709"
"93","ENSP00000265967"
"94","ENSP00000266732"
"95","ENSP00000267012"
"96","ENSP00000267101"
"97","ENSP00000267163"
"98","ENSP00000267549"
"99","ENSP00000268058"
"100","ENSP00000268712"
"101","ENSP00000272430"
"102","ENSP00000272928"
"103","ENSP00000274276"
"104","ENSP00000275493"
"105","ENSP00000276914"
"106","ENSP00000278520"
"107","ENSP00000279281"
"108","ENSP00000280871"
"109","ENSP00000281437"
"110","ENSP00000281474"
"111","ENSP00000281938"
"112","ENSP00000282561"
"113","ENSP00000285238"
"114","ENSP00000285670"
"115","ENSP00000285814"
"116","ENSP00000285873"
"117","ENSP00000286628"
"118","ENSP00000286648"
"119","ENSP00000286827"
"120","ENSP00000287878"
"121","ENSP00000289361"
"122","ENSP00000289902"
"123","ENSP00000293760"
"124","ENSP00000295095"
"125","ENSP00000295213"
"126","ENSP00000295704"
"127","ENSP00000295736"
"128","ENSP00000296161"
"129","ENSP00000296220"
"130","ENSP00000296657"
"131","ENSP00000296721"
"132","ENSP00000298910"
"133","ENSP00000299759"
"134","ENSP00000299767"
"135","ENSP00000300249"
"136","ENSP00000301178"
"137","ENSP00000301246"
"138","ENSP00000301522"
"139","ENSP00000302935"
"140","ENSP00000303830"
"141","ENSP00000303908"
"142","ENSP00000305839"
"143","ENSP00000308351"
"144","ENSP00000309539"
"145","ENSP00000309597"
"146","ENSP00000310042"
"147","ENSP00000311280"
"148","ENSP00000312356"
"149","ENSP00000312671"
"150","ENSP00000312995"
"151","ENSP00000313504"
"152","ENSP00000313851"
"153","ENSP00000314518"
"154","ENSP00000316454"
"155","ENSP00000316527"
"156","ENSP00000317272"
"157","ENSP00000317714"
"158","ENSP00000318195"
"159","ENSP00000319831"
"160","ENSP00000320147"
"161","ENSP00000320171"
"162","ENSP00000320246"
"163","ENSP00000320663"
"164","ENSP00000321077"
"165","ENSP00000321584"
"166","ENSP00000321617"
"167","ENSP00000322775"
"168","ENSP00000323580"
"169","ENSP00000323856"
"170","ENSP00000323913"
"171","ENSP00000324020"
"172","ENSP00000324560"
"173","ENSP00000325827"
"174","ENSP00000326550"
"175","ENSP00000326563"
"176","ENSP00000326706"
"177","ENSP00000327077"
"178","ENSP00000328347"
"179","ENSP00000329219"
"180","ENSP00000331342"
"181","ENSP00000331614"
"182","ENSP00000333779"
"183","ENSP00000333994"
"184","ENSP00000334314"
"185","ENSP00000334836"
"186","ENSP00000335320"
"187","ENSP00000336721"
"188","ENSP00000336868"
"189","ENSP00000336894"
"190","ENSP00000337501"
"191","ENSP00000337701"
"192","ENSP00000338185"
"193","ENSP00000338235"
"194","ENSP00000338523"
"195","ENSP00000338728"
"196","ENSP00000339191"
"197","ENSP00000339692"
"198","ENSP00000340494"
"199","ENSP00000340578"
"200","ENSP00000340691"
"201","ENSP00000340820"
"202","ENSP00000341364"
"203","ENSP00000341680"
"204","ENSP00000341743"
"205","ENSP00000341905"
"206","ENSP00000343158"
"207","ENSP00000343325"
"208","ENSP00000343658"
"209","ENSP00000344087"
"210","ENSP00000344446"
"211","ENSP00000344456"
"212","ENSP00000344844"
"213","ENSP00000345096"
"214","ENSP00000345243"
"215","ENSP00000345259"
"216","ENSP00000345728"
"217","ENSP00000345895"
"218","ENSP00000346466"
"219","ENSP00000346827"
"220","ENSP00000348050"
"221","ENSP00000348215"
"222","ENSP00000348278"
"223","ENSP00000348349"
"224","ENSP00000349238"
"225","ENSP00000349291"
"226","ENSP00000349359"
"227","ENSP00000349456"
"228","ENSP00000349727"
"229","ENSP00000349824"
"230","ENSP00000350377"
"231","ENSP00000350676"
"232","ENSP00000351113"
"233","ENSP00000351207"
"234","ENSP00000351314"
"235","ENSP00000352185"
"236","ENSP00000352264"
"237","ENSP00000352779"
"238","ENSP00000352927"
"239","ENSP00000353114"
"240","ENSP00000353224"
"241","ENSP00000353408"
"242","ENSP00000353508"
"243","ENSP00000353770"
"244","ENSP00000354003"
"245","ENSP00000354718"
"246","ENSP00000354822"
"247","ENSP00000354964"
"248","ENSP00000354991"
"249","ENSP00000355428"
"250","ENSP00000355500"
"251","ENSP00000355568"
"252","ENSP00000355589"
"253","ENSP00000355601"
"254","ENSP00000355902"
"255","ENSP00000356033"
"256","ENSP00000356094"
"257","ENSP00000356906"
"258","ENSP00000357113"
"259","ENSP00000357129"
"260","ENSP00000357643"
"261","ENSP00000357727"
"262","ENSP00000357986"
"263","ENSP00000358081"
"264","ENSP00000358799"
"265","ENSP00000358820"
"266","ENSP00000358866"
"267","ENSP00000359240"
"268","ENSP00000359380"
"269","ENSP00000360252"
"270","ENSP00000360425"
"271","ENSP00000360683"
"272","ENSP00000360797"
"273","ENSP00000361092"
"274","ENSP00000361097"
"275","ENSP00000361423"
"276","ENSP00000361433"
"277","ENSP00000361467"
"278","ENSP00000361540"
"279","ENSP00000361595"
"280","ENSP00000363031"
"281","ENSP00000363255"
"282","ENSP00000363435"
"283","ENSP00000363868"
"284","ENSP00000363921"
"285","ENSP00000364209"
"286","ENSP00000364721"
"287","ENSP00000364893"
"288","ENSP00000364919"
"289","ENSP00000365411"
"290","ENSP00000365439"
"291","ENSP00000365908"
"292","ENSP00000366527"
"293","ENSP00000367028"
"294","ENSP00000367151"
"295","ENSP00000367263"
"296","ENSP00000367608"
"297","ENSP00000367629"
"298","ENSP00000367890"
"299","ENSP00000367950"
"300","ENSP00000368710"
"301","ENSP00000368720"
"302","ENSP00000368964"
"303","ENSP00000368984"
"304","ENSP00000369274"
"305","ENSP00000369654"
"306","ENSP00000369757"
"307","ENSP00000369927"
"308","ENSP00000370376"
"309","ENSP00000370473"
"310","ENSP00000370517"
"311","ENSP00000370889"
"312","ENSP00000370968"
"313","ENSP00000370981"
