"","x"
"1","ENSP00000005226"
"2","ENSP00000014914"
"3","ENSP00000023064"
"4","ENSP00000081029"
"5","ENSP00000173229"
"6","ENSP00000184266"
"7","ENSP00000185206"
"8","ENSP00000194130"
"9","ENSP00000196371"
"10","ENSP00000199280"
"11","ENSP00000200652"
"12","ENSP00000203407"
"13","ENSP00000205402"
"14","ENSP00000205557"
"15","ENSP00000209668"
"16","ENSP00000215531"
"17","ENSP00000215565"
"18","ENSP00000215582"
"19","ENSP00000216075"
"20","ENSP00000216200"
"21","ENSP00000216442"
"22","ENSP00000216492"
"23","ENSP00000216780"
"24","ENSP00000217289"
"25","ENSP00000218099"
"26","ENSP00000218230"
"27","ENSP00000218516"
"28","ENSP00000219400"
"29","ENSP00000220166"
"30","ENSP00000220763"
"31","ENSP00000220764"
"32","ENSP00000220772"
"33","ENSP00000221307"
"34","ENSP00000221515"
"35","ENSP00000221700"
"36","ENSP00000222214"
"37","ENSP00000222374"
"38","ENSP00000223864"
"39","ENSP00000225171"
"40","ENSP00000225174"
"41","ENSP00000225927"
"42","ENSP00000227868"
"43","ENSP00000228476"
"44","ENSP00000228606"
"45","ENSP00000228705"
"46","ENSP00000229379"
"47","ENSP00000229447"
"48","ENSP00000229729"
"49","ENSP00000230048"
"50","ENSP00000231420"
"51","ENSP00000231887"
"52","ENSP00000232219"
"53","ENSP00000233596"
"54","ENSP00000233627"
"55","ENSP00000233735"
"56","ENSP00000234396"
"57","ENSP00000236495"
"58","ENSP00000237889"
"59","ENSP00000238651"
"60","ENSP00000243924"
"61","ENSP00000244137"
"62","ENSP00000244217"
"63","ENSP00000244221"
"64","ENSP00000245185"
"65","ENSP00000245407"
"66","ENSP00000246554"
"67","ENSP00000248444"
"68","ENSP00000249373"
"69","ENSP00000249750"
"70","ENSP00000250244"
"71","ENSP00000252102"
"72","ENSP00000252711"
"73","ENSP00000253413"
"74","ENSP00000253719"
"75","ENSP00000254090"
"76","ENSP00000254759"
"77","ENSP00000255189"
"78","ENSP00000255192"
"79","ENSP00000255681"
"80","ENSP00000256404"
"81","ENSP00000256441"
"82","ENSP00000256509"
"83","ENSP00000256594"
"84","ENSP00000256637"
"85","ENSP00000256785"
"86","ENSP00000257198"
"87","ENSP00000257860"
"88","ENSP00000257905"
"89","ENSP00000258383"
"90","ENSP00000258415"
"91","ENSP00000258424"
"92","ENSP00000258874"
"93","ENSP00000258975"
"94","ENSP00000259037"
"95","ENSP00000259667"
"96","ENSP00000259782"
"97","ENSP00000260118"
"98","ENSP00000260187"
"99","ENSP00000260270"
"100","ENSP00000260599"
"101","ENSP00000260649"
"102","ENSP00000260665"
"103","ENSP00000261070"
"104","ENSP00000261180"
"105","ENSP00000261187"
"106","ENSP00000261267"
"107","ENSP00000261733"
"108","ENSP00000262288"
"109","ENSP00000262294"
"110","ENSP00000262305"
"111","ENSP00000262507"
"112","ENSP00000262613"
"113","ENSP00000263038"
"114","ENSP00000263182"
"115","ENSP00000263317"
"116","ENSP00000263578"
"117","ENSP00000263593"
"118","ENSP00000263735"
"119","ENSP00000263774"
"120","ENSP00000263816"
"121","ENSP00000263915"
"122","ENSP00000264674"
"123","ENSP00000264784"
"124","ENSP00000264908"
"125","ENSP00000264932"
"126","ENSP00000264938"
"127","ENSP00000265322"
"128","ENSP00000265395"
"129","ENSP00000265431"
"130","ENSP00000265594"
"131","ENSP00000265605"
"132","ENSP00000265717"
"133","ENSP00000265838"
"134","ENSP00000266088"
"135","ENSP00000266544"
"136","ENSP00000266646"
"137","ENSP00000266736"
"138","ENSP00000267436"
"139","ENSP00000267814"
"140","ENSP00000267842"
"141","ENSP00000268379"
"142","ENSP00000268668"
"143","ENSP00000269298"
"144","ENSP00000269980"
"145","ENSP00000270570"
"146","ENSP00000271636"
"147","ENSP00000272238"
"148","ENSP00000272252"
"149","ENSP00000272425"
"150","ENSP00000272433"
"151","ENSP00000273359"
"152","ENSP00000273398"
"153","ENSP00000273450"
"154","ENSP00000273588"
"155","ENSP00000274137"
"156","ENSP00000274278"
"157","ENSP00000274353"
"158","ENSP00000274368"
"159","ENSP00000276062"
"160","ENSP00000276651"
"161","ENSP00000276689"
"162","ENSP00000278601"
"163","ENSP00000279027"
"164","ENSP00000280481"
"165","ENSP00000280701"
"166","ENSP00000280772"
"167","ENSP00000281031"
"168","ENSP00000281081"
"169","ENSP00000281087"
"170","ENSP00000281182"
"171","ENSP00000281282"
"172","ENSP00000281456"
"173","ENSP00000282541"
"174","ENSP00000283243"
