"","x"
"1","ENSP00000005587"
"2","ENSP00000011653"
"3","ENSP00000046794"
"4","ENSP00000075120"
"5","ENSP00000160262"
"6","ENSP00000166345"
"7","ENSP00000196061"
"8","ENSP00000203556"
"9","ENSP00000216122"
"10","ENSP00000216338"
"11","ENSP00000216392"
"12","ENSP00000219150"
"13","ENSP00000219406"
"14","ENSP00000222693"
"15","ENSP00000223095"
"16","ENSP00000223127"
"17","ENSP00000223293"
"18","ENSP00000225371"
"19","ENSP00000226253"
"20","ENSP00000227507"
"21","ENSP00000228251"
"22","ENSP00000228928"
"23","ENSP00000230538"
"24","ENSP00000231004"
"25","ENSP00000231009"
"26","ENSP00000231061"
"27","ENSP00000233143"
"28","ENSP00000234256"
"29","ENSP00000237353"
"30","ENSP00000243346"
"31","ENSP00000243347"
"32","ENSP00000244728"
"33","ENSP00000245903"
"34","ENSP00000246532"
"35","ENSP00000247470"
"36","ENSP00000249066"
"37","ENSP00000252599"
"38","ENSP00000253792"
"39","ENSP00000254301"
"40","ENSP00000254528"
"41","ENSP00000255448"
"42","ENSP00000256447"
"43","ENSP00000256935"
"44","ENSP00000256996"
"45","ENSP00000257549"
"46","ENSP00000257696"
"47","ENSP00000258787"
"48","ENSP00000259254"
"49","ENSP00000259469"
"50","ENSP00000259486"
"51","ENSP00000259951"
"52","ENSP00000261037"
"53","ENSP00000261366"
"54","ENSP00000261405"
"55","ENSP00000261693"
"56","ENSP00000262101"
"57","ENSP00000262105"
"58","ENSP00000262418"
"59","ENSP00000262629"
"60","ENSP00000262878"
"61","ENSP00000262960"
"62","ENSP00000263464"
"63","ENSP00000263556"
"64","ENSP00000263708"
"65","ENSP00000264036"
"66","ENSP00000264094"
"67","ENSP00000264156"
"68","ENSP00000264436"
"69","ENSP00000264474"
"70","ENSP00000264828"
"71","ENSP00000264832"
"72","ENSP00000265056"
"73","ENSP00000265077"
"74","ENSP00000265354"
"75","ENSP00000265709"
"76","ENSP00000267012"
"77","ENSP00000268613"
"78","ENSP00000271324"
"79","ENSP00000271588"
"80","ENSP00000273550"
"81","ENSP00000274242"
"82","ENSP00000274306"
"83","ENSP00000274341"
"84","ENSP00000275493"
"85","ENSP00000275766"
"86","ENSP00000276914"
"87","ENSP00000279227"
"88","ENSP00000281474"
"89","ENSP00000282397"
"90","ENSP00000282903"
"91","ENSP00000283415"
"92","ENSP00000285238"
"93","ENSP00000287156"
"94","ENSP00000289361"
"95","ENSP00000289473"
"96","ENSP00000289902"
"97","ENSP00000290573"
"98","ENSP00000292432"
"99","ENSP00000292852"
"100","ENSP00000293373"
"101","ENSP00000293379"
"102","ENSP00000294413"
"103","ENSP00000294671"
"104","ENSP00000294728"
"105","ENSP00000295213"
"106","ENSP00000296504"
"107","ENSP00000296795"
"108","ENSP00000297679"
"109","ENSP00000298910"
"110","ENSP00000299157"
"111","ENSP00000299759"
"112","ENSP00000300215"
"113","ENSP00000301246"
"114","ENSP00000301455"
"115","ENSP00000304408"
"116","ENSP00000306565"
"117","ENSP00000307199"
"118","ENSP00000307288"
"119","ENSP00000307975"
"120","ENSP00000308208"
"121","ENSP00000308351"
"122","ENSP00000312002"
"123","ENSP00000312506"
"124","ENSP00000314897"
"125","ENSP00000317000"
"126","ENSP00000317232"
"127","ENSP00000317272"
"128","ENSP00000317904"
"129","ENSP00000318697"
"130","ENSP00000319831"
"131","ENSP00000320171"
"132","ENSP00000320176"
"133","ENSP00000322594"
"134","ENSP00000325589"
"135","ENSP00000326706"
"136","ENSP00000329219"
"137","ENSP00000330523"
"138","ENSP00000330696"
"139","ENSP00000331608"
"140","ENSP00000333779"
"141","ENSP00000333994"
"142","ENSP00000334319"
"143","ENSP00000338862"
"144","ENSP00000339191"
"145","ENSP00000339398"
"146","ENSP00000340983"
"147","ENSP00000340989"
"148","ENSP00000341905"
"149","ENSP00000342222"
"150","ENSP00000342278"
"151","ENSP00000344844"
"152","ENSP00000344871"
"153","ENSP00000346206"
"154","ENSP00000347197"
