"","x"
"1","ENSP00000003084"
"2","ENSP00000011292"
"3","ENSP00000014914"
"4","ENSP00000019103"
"5","ENSP00000023064"
"6","ENSP00000046087"
"7","ENSP00000052754"
"8","ENSP00000064724"
"9","ENSP00000155858"
"10","ENSP00000161006"
"11","ENSP00000161559"
"12","ENSP00000180173"
"13","ENSP00000185206"
"14","ENSP00000192314"
"15","ENSP00000194130"
"16","ENSP00000198801"
"17","ENSP00000199280"
"18","ENSP00000201031"
"19","ENSP00000201647"
"20","ENSP00000205948"
"21","ENSP00000215531"
"22","ENSP00000215582"
"23","ENSP00000215885"
"24","ENSP00000216075"
"25","ENSP00000216115"
"26","ENSP00000216180"
"27","ENSP00000216200"
"28","ENSP00000216492"
"29","ENSP00000216513"
"30","ENSP00000216629"
"31","ENSP00000216780"
"32","ENSP00000216862"
"33","ENSP00000217254"
"34","ENSP00000217289"
"35","ENSP00000217320"
"36","ENSP00000217386"
"37","ENSP00000218230"
"38","ENSP00000218548"
"39","ENSP00000219022"
"40","ENSP00000219368"
"41","ENSP00000219746"
"42","ENSP00000219833"
"43","ENSP00000220676"
"44","ENSP00000220772"
"45","ENSP00000221307"
"46","ENSP00000221403"
"47","ENSP00000221476"
"48","ENSP00000221700"
"49","ENSP00000222374"
"50","ENSP00000222462"
"51","ENSP00000223026"
"52","ENSP00000223215"
"53","ENSP00000225171"
"54","ENSP00000225276"
"55","ENSP00000225688"
"56","ENSP00000225823"
"57","ENSP00000226218"
"58","ENSP00000226355"
"59","ENSP00000226432"
"60","ENSP00000226951"
"61","ENSP00000227667"
"62","ENSP00000228468"
"63","ENSP00000228476"
"64","ENSP00000228567"
"65","ENSP00000228606"
"66","ENSP00000228705"
"67","ENSP00000228850"
"68","ENSP00000229002"
"69","ENSP00000229447"
"70","ENSP00000229729"
"71","ENSP00000230256"
"72","ENSP00000231021"
"73","ENSP00000231420"
"74","ENSP00000231706"
"75","ENSP00000231751"
"76","ENSP00000232003"
"77","ENSP00000232217"
"78","ENSP00000232975"
"79","ENSP00000233596"
"80","ENSP00000233809"
"81","ENSP00000233826"
"82","ENSP00000233954"
"83","ENSP00000233969"
"84","ENSP00000234071"
"85","ENSP00000234396"
"86","ENSP00000234816"
"87","ENSP00000235628"
"88","ENSP00000236850"
"89","ENSP00000236918"
"90","ENSP00000237014"
"91","ENSP00000237201"
"92","ENSP00000239144"
"93","ENSP00000239151"
"94","ENSP00000241125"
"95","ENSP00000244137"
"96","ENSP00000244527"
"97","ENSP00000246794"
"98","ENSP00000246841"
"99","ENSP00000246914"
"100","ENSP00000248121"
"101","ENSP00000248444"
"102","ENSP00000248706"
"103","ENSP00000249344"
"104","ENSP00000249750"
"105","ENSP00000250244"
"106","ENSP00000250535"
"107","ENSP00000251287"
"108","ENSP00000251808"
"109","ENSP00000251864"
"110","ENSP00000252505"
"111","ENSP00000252997"
"112","ENSP00000252998"
"113","ENSP00000253255"
"114","ENSP00000253719"
"115","ENSP00000254051"
"116","ENSP00000254079"
"117","ENSP00000254090"
"118","ENSP00000254227"
"119","ENSP00000255084"
"120","ENSP00000255226"
"121","ENSP00000255416"
"122","ENSP00000256103"
"123","ENSP00000256261"
"124","ENSP00000256509"
"125","ENSP00000256593"
"126","ENSP00000256594"
"127","ENSP00000257290"
"128","ENSP00000257359"
"129","ENSP00000257600"
"130","ENSP00000257776"
"131","ENSP00000257905"
"132","ENSP00000257981"
"133","ENSP00000258106"
"134","ENSP00000258443"
"135","ENSP00000258499"
"136","ENSP00000258884"
"137","ENSP00000259351"
"138","ENSP00000259607"
"139","ENSP00000259727"
"140","ENSP00000259803"
"141","ENSP00000259818"
"142","ENSP00000260116"
"143","ENSP00000260118"
"144","ENSP00000260187"
"145","ENSP00000260191"
"146","ENSP00000260323"
"147","ENSP00000260442"
"148","ENSP00000260645"
"149","ENSP00000260682"
"150","ENSP00000261047"
"151","ENSP00000261187"
"152","ENSP00000261205"
"153","ENSP00000261488"
"154","ENSP00000261592"
"155","ENSP00000261655"
"156","ENSP00000261707"
"157","ENSP00000261751"
"158","ENSP00000261783"
"159","ENSP00000261800"
"160","ENSP00000261917"
"161","ENSP00000261994"
"162","ENSP00000262113"
