"","x"
"1","ENSP00000011653"
"2","ENSP00000046794"
"3","ENSP00000054668"
"4","ENSP00000056233"
"5","ENSP00000158762"
"6","ENSP00000167106"
"7","ENSP00000171757"
"8","ENSP00000177694"
"9","ENSP00000180166"
"10","ENSP00000182290"
"11","ENSP00000188790"
"12","ENSP00000199447"
"13","ENSP00000207157"
"14","ENSP00000209728"
"15","ENSP00000215781"
"16","ENSP00000215909"
"17","ENSP00000216117"
"18","ENSP00000216127"
"19","ENSP00000216223"
"20","ENSP00000216338"
"21","ENSP00000216341"
"22","ENSP00000216392"
"23","ENSP00000217026"
"24","ENSP00000217169"
"25","ENSP00000217233"
"26","ENSP00000218388"
"27","ENSP00000219150"
"28","ENSP00000219596"
"29","ENSP00000219919"
"30","ENSP00000220514"
"31","ENSP00000220597"
"32","ENSP00000221847"
"33","ENSP00000221978"
"34","ENSP00000222250"
"35","ENSP00000222598"
"36","ENSP00000222693"
"37","ENSP00000223095"
"38","ENSP00000223795"
"39","ENSP00000226253"
"40","ENSP00000226284"
"41","ENSP00000227163"
"42","ENSP00000227348"
"43","ENSP00000227507"
"44","ENSP00000227752"
"45","ENSP00000227880"
"46","ENSP00000228438"
"47","ENSP00000228463"
"48","ENSP00000229135"
"49","ENSP00000229335"
"50","ENSP00000230538"
"51","ENSP00000230588"
"52","ENSP00000231004"
"53","ENSP00000231009"
"54","ENSP00000231228"
"55","ENSP00000231461"
"56","ENSP00000232375"
"57","ENSP00000233143"
"58","ENSP00000233202"
"59","ENSP00000234256"
"60","ENSP00000234313"
"61","ENSP00000234371"
"62","ENSP00000234798"
"63","ENSP00000238994"
"64","ENSP00000240100"
"65","ENSP00000240306"
"66","ENSP00000240423"
"67","ENSP00000242728"
"68","ENSP00000243347"
"69","ENSP00000243457"
"70","ENSP00000244174"
"71","ENSP00000245620"
"72","ENSP00000245817"
"73","ENSP00000245903"
"74","ENSP00000245907"
"75","ENSP00000246115"
"76","ENSP00000246657"
"77","ENSP00000247182"
"78","ENSP00000247191"
"79","ENSP00000247270"
"80","ENSP00000247470"
"81","ENSP00000248901"
"82","ENSP00000249016"
"83","ENSP00000249044"
"84","ENSP00000249071"
"85","ENSP00000249749"
"86","ENSP00000250092"
"87","ENSP00000250457"
"88","ENSP00000251377"
"89","ENSP00000251496"
"90","ENSP00000253407"
"91","ENSP00000253410"
"92","ENSP00000253462"
"93","ENSP00000253496"
"94","ENSP00000254528"
"95","ENSP00000255448"
"96","ENSP00000256246"
"97","ENSP00000256412"
"98","ENSP00000256447"
"99","ENSP00000256935"
"100","ENSP00000256996"
"101","ENSP00000257017"
"102","ENSP00000257549"
"103","ENSP00000257570"
"104","ENSP00000257696"
"105","ENSP00000257909"
"106","ENSP00000258729"
"107","ENSP00000258787"
"108","ENSP00000259030"
"109","ENSP00000259608"
"110","ENSP00000259881"
"111","ENSP00000259989"
"112","ENSP00000260386"
"113","ENSP00000260723"
"114","ENSP00000261007"
"115","ENSP00000261037"
"116","ENSP00000261267"
"117","ENSP00000261374"
"118","ENSP00000261405"
"119","ENSP00000261597"
"120","ENSP00000261693"
"121","ENSP00000262101"
"122","ENSP00000262209"
"123","ENSP00000262262"
"124","ENSP00000262293"
"125","ENSP00000262300"
"126","ENSP00000262629"
"127","ENSP00000262866"
"128","ENSP00000263277"
"129","ENSP00000263285"
"130","ENSP00000263382"
"131","ENSP00000263464"
"132","ENSP00000263863"
"133","ENSP00000264009"
"134","ENSP00000264036"
"135","ENSP00000264233"
"136","ENSP00000264246"
"137","ENSP00000264260"
"138","ENSP00000264436"
"139","ENSP00000264474"
"140","ENSP00000264553"
"141","ENSP00000264596"
"142","ENSP00000264613"
"143","ENSP00000264828"
"144","ENSP00000265077"
"145","ENSP00000265087"
"146","ENSP00000265113"
"147","ENSP00000265148"
"148","ENSP00000265598"
"149","ENSP00000265634"
"150","ENSP00000265707"
"151","ENSP00000265748"
"152","ENSP00000265944"
"153","ENSP00000266263"
"154","ENSP00000266557"
"155","ENSP00000266771"
"156","ENSP00000267012"
"157","ENSP00000267953"
"158","ENSP00000268138"
"159","ENSP00000268389"
"160","ENSP00000268613"
"161","ENSP00000270349"
"162","ENSP00000270642"
"163","ENSP00000271324"
"164","ENSP00000271450"
"165","ENSP00000271452"
"166","ENSP00000272198"
"167","ENSP00000272371"
"168","ENSP00000272462"
"169","ENSP00000272895"
"170","ENSP00000273283"
"171","ENSP00000273695"
"172","ENSP00000273905"
"173","ENSP00000274289"
"174","ENSP00000274306"
"175","ENSP00000274341"
"176","ENSP00000274793"
"177","ENSP00000274963"
"178","ENSP00000275162"
"179","ENSP00000275517"
"180","ENSP00000276077"
"181","ENSP00000276410"
"182","ENSP00000276420"
"183","ENSP00000276570"
