"","x"
"1","ENSP00000005386"
"2","ENSP00000037869"
"3","ENSP00000044462"
"4","ENSP00000053468"
"5","ENSP00000055077"
"6","ENSP00000064778"
"7","ENSP00000081029"
"8","ENSP00000156109"
"9","ENSP00000156471"
"10","ENSP00000157812"
"11","ENSP00000170564"
"12","ENSP00000177742"
"13","ENSP00000184266"
"14","ENSP00000188312"
"15","ENSP00000199320"
"16","ENSP00000199814"
"17","ENSP00000202017"
"18","ENSP00000202816"
"19","ENSP00000203407"
"20","ENSP00000204549"
"21","ENSP00000206474"
"22","ENSP00000206542"
"23","ENSP00000209728"
"24","ENSP00000210060"
"25","ENSP00000211998"
"26","ENSP00000215071"
"27","ENSP00000215565"
"28","ENSP00000215570"
"29","ENSP00000215793"
"30","ENSP00000215794"
"31","ENSP00000215980"
"32","ENSP00000216027"
"33","ENSP00000216034"
"34","ENSP00000216038"
"35","ENSP00000216122"
"36","ENSP00000216190"
"37","ENSP00000216225"
"38","ENSP00000216252"
"39","ENSP00000216254"
"40","ENSP00000216294"
"41","ENSP00000216297"
"42","ENSP00000216367"
"43","ENSP00000216442"
"44","ENSP00000216455"
"45","ENSP00000216554"
"46","ENSP00000216727"
"47","ENSP00000216756"
"48","ENSP00000216832"
"49","ENSP00000216911"
"50","ENSP00000217109"
"51","ENSP00000217402"
"52","ENSP00000219097"
"53","ENSP00000219169"
"54","ENSP00000219252"
"55","ENSP00000219313"
"56","ENSP00000220429"
"57","ENSP00000220496"
"58","ENSP00000220509"
"59","ENSP00000220514"
"60","ENSP00000220659"
"61","ENSP00000220849"
"62","ENSP00000221114"
"63","ENSP00000221233"
"64","ENSP00000221265"
"65","ENSP00000221419"
"66","ENSP00000221494"
"67","ENSP00000221573"
"68","ENSP00000221801"
"69","ENSP00000221855"
"70","ENSP00000221859"
"71","ENSP00000222005"
"72","ENSP00000222247"
"73","ENSP00000222673"
"74","ENSP00000222968"
"75","ENSP00000223073"
"76","ENSP00000223129"
"77","ENSP00000223321"
"78","ENSP00000223324"
"79","ENSP00000223369"
"80","ENSP00000223641"
"81","ENSP00000225296"
"82","ENSP00000225298"
"83","ENSP00000225430"
"84","ENSP00000225504"
"85","ENSP00000225567"
"86","ENSP00000225655"
"87","ENSP00000225728"
"88","ENSP00000225792"
"89","ENSP00000225969"
"90","ENSP00000226796"
"91","ENSP00000227322"
"92","ENSP00000227520"
"93","ENSP00000227524"
"94","ENSP00000228284"
"95","ENSP00000228318"
"96","ENSP00000228347"
"97","ENSP00000228825"
"98","ENSP00000229179"
"99","ENSP00000229195"
"100","ENSP00000229214"
"101","ENSP00000229239"
"102","ENSP00000229268"
"103","ENSP00000229270"
"104","ENSP00000229379"
"105","ENSP00000229758"
"106","ENSP00000230050"
"107","ENSP00000230340"
"108","ENSP00000230449"
"109","ENSP00000231198"
"110","ENSP00000231238"
"111","ENSP00000231487"
"112","ENSP00000231498"
"113","ENSP00000231668"
"114","ENSP00000231751"
"115","ENSP00000232888"
"116","ENSP00000233331"
"117","ENSP00000233468"
"118","ENSP00000233557"
"119","ENSP00000233615"
"120","ENSP00000233893"
"121","ENSP00000234038"
"122","ENSP00000234170"
"123","ENSP00000235090"
"124","ENSP00000235310"
"125","ENSP00000235329"
"126","ENSP00000235521"
"127","ENSP00000236273"
"128","ENSP00000237380"
"129","ENSP00000237530"
"130","ENSP00000237889"
"131","ENSP00000238112"
"132","ENSP00000238146"
"133","ENSP00000238738"
"134","ENSP00000240055"
"135","ENSP00000240185"
"136","ENSP00000240333"
"137","ENSP00000240423"
"138","ENSP00000240651"
"139","ENSP00000240922"
"140","ENSP00000243253"
"141","ENSP00000243706"
"142","ENSP00000243918"
"143","ENSP00000244020"
"144","ENSP00000244051"
"145","ENSP00000244227"
"146","ENSP00000244230"
"147","ENSP00000244496"
"148","ENSP00000244520"
"149","ENSP00000245206"
"150","ENSP00000245539"
"151","ENSP00000245543"
"152","ENSP00000245544"
"153","ENSP00000245564"
"154","ENSP00000245838"
"155","ENSP00000245934"
"156","ENSP00000246071"
"157","ENSP00000246166"
"158","ENSP00000246548"
"159","ENSP00000246747"
"160","ENSP00000246868"
"161","ENSP00000247001"
"162","ENSP00000247003"
"163","ENSP00000247026"
"164","ENSP00000247843"
"165","ENSP00000248114"
"166","ENSP00000248450"
"167","ENSP00000248846"
"168","ENSP00000249269"
"169","ENSP00000249299"
