"","x"
"1","ENSP00000005178"
"2","ENSP00000006053"
"3","ENSP00000014930"
"4","ENSP00000075120"
"5","ENSP00000157600"
"6","ENSP00000204961"
"7","ENSP00000215838"
"8","ENSP00000218388"
"9","ENSP00000220325"
"10","ENSP00000220809"
"11","ENSP00000222005"
"12","ENSP00000222145"
"13","ENSP00000222250"
"14","ENSP00000222399"
"15","ENSP00000222693"
"16","ENSP00000223095"
"17","ENSP00000227756"
"18","ENSP00000228251"
"19","ENSP00000228741"
"20","ENSP00000228938"
"21","ENSP00000230538"
"22","ENSP00000231061"
"23","ENSP00000231721"
"24","ENSP00000232424"
"25","ENSP00000233156"
"26","ENSP00000233813"
"27","ENSP00000242249"
"28","ENSP00000245185"
"29","ENSP00000245323"
"30","ENSP00000246006"
"31","ENSP00000246069"
"32","ENSP00000248076"
"33","ENSP00000248564"
"34","ENSP00000249749"
"35","ENSP00000252590"
"36","ENSP00000252593"
"37","ENSP00000252999"
"38","ENSP00000253796"
"39","ENSP00000254898"
"40","ENSP00000254958"
"41","ENSP00000256951"
"42","ENSP00000258341"
"43","ENSP00000259324"
"44","ENSP00000259486"
"45","ENSP00000260128"
"46","ENSP00000260356"
"47","ENSP00000260526"
"48","ENSP00000260983"
"49","ENSP00000261037"
"50","ENSP00000261402"
"51","ENSP00000261405"
"52","ENSP00000261693"
"53","ENSP00000261937"
"54","ENSP00000262031"
"55","ENSP00000262067"
"56","ENSP00000262102"
"57","ENSP00000262741"
"58","ENSP00000263174"
"59","ENSP00000263409"
"60","ENSP00000263645"
"61","ENSP00000263734"
"62","ENSP00000263923"
"63","ENSP00000264036"
"64","ENSP00000264187"
"65","ENSP00000264758"
"66","ENSP00000265052"
"67","ENSP00000265371"
"68","ENSP00000265970"
"69","ENSP00000266085"
"70","ENSP00000267884"
"71","ENSP00000268613"
"72","ENSP00000269593"
"73","ENSP00000270233"
"74","ENSP00000270879"
"75","ENSP00000271064"
"76","ENSP00000272233"
"77","ENSP00000273371"
"78","ENSP00000274289"
"79","ENSP00000274368"
"80","ENSP00000276297"
"81","ENSP00000278071"
"82","ENSP00000278927"
"83","ENSP00000278937"
"84","ENSP00000280258"
"85","ENSP00000280527"
"86","ENSP00000281537"
"87","ENSP00000282397"
"88","ENSP00000282561"
"89","ENSP00000282588"
"90","ENSP00000284240"
"91","ENSP00000284981"
