"","x"
"1","ENSP00000175091"
"2","ENSP00000178638"
"3","ENSP00000203407"
"4","ENSP00000215531"
"5","ENSP00000215754"
"6","ENSP00000216075"
"7","ENSP00000216218"
"8","ENSP00000217971"
"9","ENSP00000218230"
"10","ENSP00000219207"
"11","ENSP00000225688"
"12","ENSP00000229379"
"13","ENSP00000230431"
"14","ENSP00000231487"
"15","ENSP00000232424"
"16","ENSP00000234396"
"17","ENSP00000237889"
"18","ENSP00000239940"
"19","ENSP00000244137"
"20","ENSP00000244745"
"21","ENSP00000245185"
"22","ENSP00000246069"
"23","ENSP00000250244"
"24","ENSP00000252809"
"25","ENSP00000254227"
"26","ENSP00000254301"
"27","ENSP00000255192"
"28","ENSP00000256594"
"29","ENSP00000256644"
"30","ENSP00000257905"
"31","ENSP00000258106"
"32","ENSP00000258424"
"33","ENSP00000260227"
"34","ENSP00000260599"
"35","ENSP00000261313"
"36","ENSP00000261733"
"37","ENSP00000261811"
"38","ENSP00000262626"
"39","ENSP00000262746"
"40","ENSP00000263038"
"41","ENSP00000263182"
"42","ENSP00000263334"
"43","ENSP00000263707"
"44","ENSP00000263735"
"45","ENSP00000264059"
"46","ENSP00000264335"
"47","ENSP00000265023"
"48","ENSP00000265052"
"49","ENSP00000265395"
"50","ENSP00000265462"
"51","ENSP00000265838"
"52","ENSP00000266458"
"53","ENSP00000266560"
"54","ENSP00000268122"
"55","ENSP00000269159"
"56","ENSP00000269298"
"57","ENSP00000270233"
"58","ENSP00000272425"
"59","ENSP00000274353"
"60","ENSP00000276689"
"61","ENSP00000281087"
"62","ENSP00000281456"
"63","ENSP00000284440"
"64","ENSP00000284981"
"65","ENSP00000285093"
"66","ENSP00000285379"
"67","ENSP00000286234"
"68","ENSP00000289004"
"69","ENSP00000290079"
"70","ENSP00000290349"
"71","ENSP00000292079"
"72","ENSP00000292907"
"73","ENSP00000294338"
"74","ENSP00000295666"
"75","ENSP00000295834"
"76","ENSP00000296102"
"77","ENSP00000296424"
"78","ENSP00000296658"
"79","ENSP00000297029"
"80","ENSP00000297439"
"81","ENSP00000297785"
"82","ENSP00000297991"
"83","ENSP00000298248"
"84","ENSP00000298510"
"85","ENSP00000299198"
"86","ENSP00000299299"
"87","ENSP00000299339"
"88","ENSP00000299752"
"89","ENSP00000300079"
"90","ENSP00000300784"
"91","ENSP00000301244"
"92","ENSP00000301464"
"93","ENSP00000301522"
"94","ENSP00000303356"
"95","ENSP00000306397"
"96","ENSP00000307706"
"97","ENSP00000308122"
