"","x"
"1","ENSP00000005226"
"2","ENSP00000006053"
"3","ENSP00000006275"
"4","ENSP00000016171"
"5","ENSP00000019317"
"6","ENSP00000033079"
"7","ENSP00000040738"
"8","ENSP00000056217"
"9","ENSP00000072869"
"10","ENSP00000078429"
"11","ENSP00000081029"
"12","ENSP00000170447"
"13","ENSP00000178640"
"14","ENSP00000194130"
"15","ENSP00000196371"
"16","ENSP00000202677"
"17","ENSP00000212355"
"18","ENSP00000215531"
"19","ENSP00000215565"
"20","ENSP00000216075"
"21","ENSP00000216115"
"22","ENSP00000216121"
"23","ENSP00000216133"
"24","ENSP00000216218"
"25","ENSP00000216442"
"26","ENSP00000216452"
"27","ENSP00000216554"
"28","ENSP00000216602"
"29","ENSP00000216605"
"30","ENSP00000216807"
"31","ENSP00000219207"
"32","ENSP00000219252"
"33","ENSP00000219271"
"34","ENSP00000219400"
"35","ENSP00000219548"
"36","ENSP00000219746"
"37","ENSP00000220509"
"38","ENSP00000220763"
"39","ENSP00000220764"
"40","ENSP00000221130"
"41","ENSP00000221138"
"42","ENSP00000221480"
"43","ENSP00000221566"
"44","ENSP00000222224"
"45","ENSP00000222374"
"46","ENSP00000222673"
"47","ENSP00000222728"
"48","ENSP00000222800"
"49","ENSP00000223023"
"50","ENSP00000223029"
"51","ENSP00000223500"
"52","ENSP00000224652"
"53","ENSP00000225927"
"54","ENSP00000226319"
"55","ENSP00000226432"
"56","ENSP00000226574"
"57","ENSP00000227266"
"58","ENSP00000227868"
"59","ENSP00000228476"
"60","ENSP00000228705"
"61","ENSP00000229328"
"62","ENSP00000229379"
"63","ENSP00000229729"
"64","ENSP00000231420"
"65","ENSP00000231721"
"66","ENSP00000231887"
"67","ENSP00000233710"
"68","ENSP00000233712"
"69","ENSP00000235329"
"70","ENSP00000235835"
"71","ENSP00000236137"
"72","ENSP00000238018"
"73","ENSP00000238379"
"74","ENSP00000238497"
"75","ENSP00000238561"
"76","ENSP00000238651"
"77","ENSP00000238667"
"78","ENSP00000238855"
"79","ENSP00000241014"
"80","ENSP00000241052"
"81","ENSP00000242592"
"82","ENSP00000243501"
"83","ENSP00000244137"
"84","ENSP00000244221"
"85","ENSP00000244926"
"86","ENSP00000245157"
"87","ENSP00000245680"
"88","ENSP00000245812"
"89","ENSP00000245908"
"90","ENSP00000246024"
"91","ENSP00000248114"
"92","ENSP00000248121"
"93","ENSP00000248248"
"94","ENSP00000248342"
"95","ENSP00000249269"
"96","ENSP00000249806"
"97","ENSP00000251038"
"98","ENSP00000251268"
"99","ENSP00000251968"
"100","ENSP00000252602"
"101","ENSP00000252655"
"102","ENSP00000252699"
"103","ENSP00000252711"
"104","ENSP00000253083"
"105","ENSP00000253413"
"106","ENSP00000253457"
"107","ENSP00000253686"
"108","ENSP00000253719"
"109","ENSP00000253925"
"110","ENSP00000254260"
"111","ENSP00000254322"
"112","ENSP00000254616"
"113","ENSP00000254695"
"114","ENSP00000254759"
"115","ENSP00000254770"
"116","ENSP00000254799"
"117","ENSP00000254846"
"118","ENSP00000255189"
"119","ENSP00000255390"
"120","ENSP00000255882"
"121","ENSP00000256001"
"122","ENSP00000256078"
"123","ENSP00000256079"
"124","ENSP00000256190"
"125","ENSP00000256398"
"126","ENSP00000256496"
"127","ENSP00000256509"
"128","ENSP00000256707"
"129","ENSP00000257910"
"130","ENSP00000258098"
"131","ENSP00000258383"
"132","ENSP00000258418"
"133","ENSP00000258821"
"134","ENSP00000259351"
"135","ENSP00000259467"
"136","ENSP00000259569"
"137","ENSP00000259667"
"138","ENSP00000259708"
"139","ENSP00000259782"
"140","ENSP00000260187"
"141","ENSP00000260197"
"142","ENSP00000260270"
"143","ENSP00000260361"
"144","ENSP00000260649"
"145","ENSP00000260665"
"146","ENSP00000260803"
"147","ENSP00000261245"
"148","ENSP00000261263"
"149","ENSP00000261313"
"150","ENSP00000261332"
"151","ENSP00000261374"
"152","ENSP00000261438"
"153","ENSP00000261439"
"154","ENSP00000261486"
"155","ENSP00000261499"
"156","ENSP00000261609"
"157","ENSP00000261647"
"158","ENSP00000261733"
"159","ENSP00000261769"
"160","ENSP00000261837"
"161","ENSP00000261839"
"162","ENSP00000261866"
"163","ENSP00000261880"
"164","ENSP00000261884"
"165","ENSP00000261890"
"166","ENSP00000261892"
