"","x"
"1","ENSP00000004531"
"2","ENSP00000005178"
"3","ENSP00000052754"
"4","ENSP00000166139"
"5","ENSP00000171887"
"6","ENSP00000175091"
"7","ENSP00000206423"
"8","ENSP00000211998"
"9","ENSP00000215631"
"10","ENSP00000215909"
"11","ENSP00000216968"
"12","ENSP00000218388"
"13","ENSP00000219070"
"14","ENSP00000220809"
"15","ENSP00000222399"
"16","ENSP00000222693"
"17","ENSP00000223061"
"18","ENSP00000223095"
"19","ENSP00000223357"
"20","ENSP00000225688"
"21","ENSP00000225831"
"22","ENSP00000225964"
"23","ENSP00000228938"
"24","ENSP00000230538"
"25","ENSP00000231061"
"26","ENSP00000233156"
"27","ENSP00000233809"
"28","ENSP00000233813"
"29","ENSP00000237172"
"30","ENSP00000239461"
"31","ENSP00000239938"
"32","ENSP00000240123"
"33","ENSP00000240328"
"34","ENSP00000243077"
"35","ENSP00000244043"
"36","ENSP00000245185"
"37","ENSP00000245907"
"38","ENSP00000245919"
"39","ENSP00000246069"
"40","ENSP00000248089"
"41","ENSP00000248553"
"42","ENSP00000248564"
"43","ENSP00000249842"
"44","ENSP00000250340"
"45","ENSP00000252456"
"46","ENSP00000253410"
"47","ENSP00000253778"
"48","ENSP00000253796"
"49","ENSP00000254722"
"50","ENSP00000254958"
"51","ENSP00000255448"
"52","ENSP00000256594"
"53","ENSP00000256951"
"54","ENSP00000256953"
"55","ENSP00000258341"
"56","ENSP00000260526"
"57","ENSP00000261799"
"58","ENSP00000262424"
"59","ENSP00000262768"
"60","ENSP00000262776"
"61","ENSP00000263277"
"62","ENSP00000263388"
"63","ENSP00000263674"
"64","ENSP00000263734"
"65","ENSP00000264036"
"66","ENSP00000264059"
"67","ENSP00000264187"
"68","ENSP00000265361"
"69","ENSP00000265371"
"70","ENSP00000266085"
"71","ENSP00000266671"
"72","ENSP00000266718"
"73","ENSP00000267970"
"74","ENSP00000268150"
"75","ENSP00000269593"
"76","ENSP00000270233"
"77","ENSP00000271064"
"78","ENSP00000271651"
"79","ENSP00000274063"
"80","ENSP00000276297"
"81","ENSP00000278407"
"82","ENSP00000278927"
"83","ENSP00000279022"
"84","ENSP00000280258"
"85","ENSP00000281172"
