"","x"
"1","ENSP00000005178"
"2","ENSP00000009530"
"3","ENSP00000053867"
"4","ENSP00000198536"
"5","ENSP00000216117"
"6","ENSP00000217131"
"7","ENSP00000220166"
"8","ENSP00000221466"
"9","ENSP00000222219"
"10","ENSP00000222553"
"11","ENSP00000226299"
"12","ENSP00000227163"
"13","ENSP00000227266"
"14","ENSP00000229829"
"15","ENSP00000232564"
"16","ENSP00000233202"
"17","ENSP00000236671"
"18","ENSP00000243077"
"19","ENSP00000245907"
"20","ENSP00000248553"
"21","ENSP00000248598"
"22","ENSP00000248975"
"23","ENSP00000250092"
"24","ENSP00000252486"
"25","ENSP00000254301"
"26","ENSP00000254722"
"27","ENSP00000257549"
"28","ENSP00000259053"
"29","ENSP00000259392"
"30","ENSP00000259874"
"31","ENSP00000260130"
"32","ENSP00000261024"
"33","ENSP00000261267"
"34","ENSP00000261733"
"35","ENSP00000262101"
"36","ENSP00000262288"
"37","ENSP00000262629"
"38","ENSP00000262746"
"39","ENSP00000263341"
"40","ENSP00000263867"
"41","ENSP00000264870"
"42","ENSP00000265113"
"43","ENSP00000267328"
"44","ENSP00000268389"
"45","ENSP00000271450"
"46","ENSP00000271638"
"47","ENSP00000272233"
"48","ENSP00000273550"
"49","ENSP00000276390"
"50","ENSP00000278407"
"51","ENSP00000280357"
"52","ENSP00000284818"
"53","ENSP00000286301"
"54","ENSP00000286628"
"55","ENSP00000289575"
"56","ENSP00000289902"
"57","ENSP00000290219"
"58","ENSP00000291568"
"59","ENSP00000293778"
"60","ENSP00000295408"
"61","ENSP00000298223"
"62","ENSP00000300184"
"63","ENSP00000302046"
"64","ENSP00000302079"
"65","ENSP00000302569"
"66","ENSP00000304236"
"67","ENSP00000305651"
"68","ENSP00000305692"
"69","ENSP00000306512"
"70","ENSP00000307900"
"71","ENSP00000309124"
"72","ENSP00000312946"
"73","ENSP00000313391"
"74","ENSP00000313967"
"75","ENSP00000314380"
"76","ENSP00000317000"
"77","ENSP00000322273"
"78","ENSP00000323929"
"79","ENSP00000329468"
"80","ENSP00000332049"
"81","ENSP00000332139"
"82","ENSP00000332151"
"83","ENSP00000337354"
"84","ENSP00000338648"
"85","ENSP00000339328"
"86","ENSP00000339398"
"87","ENSP00000339692"
"88","ENSP00000340874"
"89","ENSP00000341610"
"90","ENSP00000343505"
"91","ENSP00000344218"
"92","ENSP00000345344"
"93","ENSP00000345672"
"94","ENSP00000346389"
"95","ENSP00000346839"
"96","ENSP00000347197"
"97","ENSP00000348461"
"98","ENSP00000350199"
"99","ENSP00000351497"
"100","ENSP00000352071"
"101","ENSP00000353099"
"102","ENSP00000353142"
"103","ENSP00000354901"
"104","ENSP00000356465"
"105","ENSP00000356713"
"106","ENSP00000356832"
"107","ENSP00000356946"
"108","ENSP00000357123"
"109","ENSP00000357131"
"110","ENSP00000357981"
"111","ENSP00000358099"
"112","ENSP00000358165"
"113","ENSP00000359540"
"114","ENSP00000361140"
"115","ENSP00000362195"
"116","ENSP00000362205"
"117","ENSP00000362410"
"118","ENSP00000362924"
"119","ENSP00000363512"
"120","ENSP00000363603"
"121","ENSP00000363770"
"122","ENSP00000363773"
"123","ENSP00000363804"
"124","ENSP00000363868"
"125","ENSP00000363869"
"126","ENSP00000363976"
"127","ENSP00000364076"
"128","ENSP00000364080"
"129","ENSP00000364114"
"130","ENSP00000364595"
"131","ENSP00000365048"
"132","ENSP00000365227"
"133","ENSP00000365261"
"134","ENSP00000366460"
"135","ENSP00000366525"
"136","ENSP00000366694"
"137","ENSP00000367384"
"138","ENSP00000367851"
"139","ENSP00000368450"
"140","ENSP00000368572"
"141","ENSP00000369286"
"142","ENSP00000369530"
"143","ENSP00000369702"
"144","ENSP00000371152"
"145","ENSP00000371420"
"146","ENSP00000371958"
"147","ENSP00000375616"
"148","ENSP00000375622"
"149","ENSP00000376372"
"150","ENSP00000376911"
"151","ENSP00000378394"
"152","ENSP00000378517"
"153","ENSP00000378786"
"154","ENSP00000378856"
"155","ENSP00000379038"
"156","ENSP00000380666"
"157","ENSP00000381057"
"158","ENSP00000381448"
"159","ENSP00000382804"
"160","ENSP00000384763"
"161","ENSP00000384886"
"162","ENSP00000386165"
"163","ENSP00000387050"
"164","ENSP00000387164"
"165","ENSP00000389414"
"166","ENSP00000390431"
"167","ENSP00000392770"
"168","ENSP00000393566"
"169","ENSP00000394863"
"170","ENSP00000395473"
"171","ENSP00000398890"
"172","ENSP00000403117"
"173","ENSP00000404179"
"174","ENSP00000407375"
"175","ENSP00000408025"
"176","ENSP00000408146"
"177","ENSP00000409555"
"178","ENSP00000410269"
"179","ENSP00000416330"
"180","ENSP00000417138"
"181","ENSP00000422607"
"182","ENSP00000426455"
"183","ENSP00000427279"
"184","ENSP00000430237"
"185","ENSP00000434729"
"186","ENSP00000447730"
"187","ENSP00000448517"
"188","ENSP00000451112"
"189","ENSP00000455897"
"190","ENSP00000461945"
"191","ENSP00000465356"
"192","ENSP00000471493"
"193","ENSP00000478061"
"194","ENSP00000481038"
"195","ENSP00000329880"
"196","ENSP00000357594"
"197","ENSP00000394227"
"198","ENSP00000420939"
