"","x"
"1","ENSP00000002596"
"2","ENSP00000006777"
"3","ENSP00000075120"
"4","ENSP00000175091"
"5","ENSP00000200453"
"6","ENSP00000211076"
"7","ENSP00000216797"
"8","ENSP00000218388"
"9","ENSP00000225538"
"10","ENSP00000227155"
"11","ENSP00000228434"
"12","ENSP00000233954"
"13","ENSP00000235382"
"14","ENSP00000236671"
"15","ENSP00000239938"
"16","ENSP00000242465"
"17","ENSP00000245615"
"18","ENSP00000245919"
"19","ENSP00000250617"
"20","ENSP00000252244"
"21","ENSP00000259727"
"22","ENSP00000261304"
"23","ENSP00000262094"
"24","ENSP00000262134"
"25","ENSP00000262262"
"26","ENSP00000263655"
"27","ENSP00000263867"
"28","ENSP00000264605"
"29","ENSP00000264832"
"30","ENSP00000266085"
"31","ENSP00000267845"
"32","ENSP00000273550"
"33","ENSP00000276914"
"34","ENSP00000278353"
"35","ENSP00000278888"
"36","ENSP00000280357"
"37","ENSP00000285670"
"38","ENSP00000286298"
"39","ENSP00000288135"
"40","ENSP00000289902"
"41","ENSP00000290551"
"42","ENSP00000292596"
"43","ENSP00000293778"
"44","ENSP00000295256"
"45","ENSP00000295600"
"46","ENSP00000296046"
"47","ENSP00000296522"
"48","ENSP00000298472"
"49","ENSP00000299314"
"50","ENSP00000301071"
"51","ENSP00000302144"
"52","ENSP00000305372"
"53","ENSP00000306245"
"54","ENSP00000307508"
"55","ENSP00000307900"
"56","ENSP00000313921"
"57","ENSP00000315130"
"58","ENSP00000315630"
"59","ENSP00000319231"
"60","ENSP00000322730"
"61","ENSP00000323696"
"62","ENSP00000325663"
"63","ENSP00000327513"
"64","ENSP00000329418"
"65","ENSP00000332247"
"66","ENSP00000332979"
"67","ENSP00000334785"
"68","ENSP00000338562"
"69","ENSP00000339186"
"70","ENSP00000339328"
"71","ENSP00000339787"
"72","ENSP00000343577"
"73","ENSP00000344254"
"74","ENSP00000345681"
"75","ENSP00000347872"
"76","ENSP00000354612"
"77","ENSP00000354718"
"78","ENSP00000355050"
"79","ENSP00000355077"
"80","ENSP00000356113"
"81","ENSP00000356429"
"82","ENSP00000356465"
"83","ENSP00000357097"
"84","ENSP00000357131"
"85","ENSP00000357283"
"86","ENSP00000359575"
"87","ENSP00000360266"
"88","ENSP00000360609"
"89","ENSP00000361001"
"90","ENSP00000361780"
"91","ENSP00000363512"
"92","ENSP00000363852"
"93","ENSP00000363868"
"94","ENSP00000366109"
"95","ENSP00000367309"
"96","ENSP00000368450"
"97","ENSP00000369318"
"98","ENSP00000369500"
"99","ENSP00000371152"
"100","ENSP00000371219"
"101","ENSP00000371958"
"102","ENSP00000374455"
"103","ENSP00000377303"
"104","ENSP00000378416"
"105","ENSP00000379097"
"106","ENSP00000382379"
"107","ENSP00000389241"
"108","ENSP00000398632"
"109","ENSP00000399511"
"110","ENSP00000400892"
"111","ENSP00000401502"
"112","ENSP00000407726"
"113","ENSP00000419184"
"114","ENSP00000420494"
"115","ENSP00000430237"
"116","ENSP00000431418"
"117","ENSP00000436897"
"118","ENSP00000442837"
"119","ENSP00000446007"
"120","ENSP00000447730"
"121","ENSP00000465617"
"122","ENSP00000469647"
"123","ENSP00000479870"
"124","ENSP00000481570"
"125","ENSP00000483570"
"126","ENSP00000484631"
"127","ENSP00000484803"
"128","ENSP00000254810"
"129","ENSP00000305675"
"130","ENSP00000318298"
"131","ENSP00000356093"
"132","ENSP00000479861"
"133","ENSP00000482743"
