"","x"
"1","ENSP00000053867"
"2","ENSP00000198536"
"3","ENSP00000215886"
"4","ENSP00000215909"
"5","ENSP00000217131"
"6","ENSP00000218388"
"7","ENSP00000220166"
"8","ENSP00000221466"
"9","ENSP00000222553"
"10","ENSP00000227163"
"11","ENSP00000228740"
"12","ENSP00000229332"
"13","ENSP00000233202"
"14","ENSP00000240617"
"15","ENSP00000243077"
"16","ENSP00000245620"
"17","ENSP00000246006"
"18","ENSP00000246533"
"19","ENSP00000247153"
"20","ENSP00000247470"
"21","ENSP00000248598"
"22","ENSP00000250092"
"23","ENSP00000251372"
"24","ENSP00000251377"
"25","ENSP00000252603"
"26","ENSP00000254301"
"27","ENSP00000254528"
"28","ENSP00000254667"
"29","ENSP00000256646"
"30","ENSP00000259053"
"31","ENSP00000259939"
"32","ENSP00000260356"
"33","ENSP00000261233"
"34","ENSP00000261267"
"35","ENSP00000262262"
"36","ENSP00000262428"
"37","ENSP00000262629"
"38","ENSP00000262768"
"39","ENSP00000262878"
"40","ENSP00000263270"
"41","ENSP00000263368"
"42","ENSP00000263574"
"43","ENSP00000263805"
"44","ENSP00000264474"
"45","ENSP00000265077"
"46","ENSP00000265686"
"47","ENSP00000267953"
"48","ENSP00000268389"
"49","ENSP00000269299"
"50","ENSP00000270776"
"51","ENSP00000271450"
"52","ENSP00000271638"
"53","ENSP00000273550"
"54","ENSP00000276390"
"55","ENSP00000278568"
"56","ENSP00000279488"
"57","ENSP00000286301"
"58","ENSP00000286733"
"59","ENSP00000289473"
"60","ENSP00000289902"
"61","ENSP00000290219"
"62","ENSP00000292432"
"63","ENSP00000294435"
"64","ENSP00000297290"
"65","ENSP00000298910"
"66","ENSP00000299663"
"67","ENSP00000300184"
"68","ENSP00000302114"
"69","ENSP00000302569"
"70","ENSP00000304236"
"71","ENSP00000305422"
"72","ENSP00000306866"
"73","ENSP00000310557"
"74","ENSP00000312999"
"75","ENSP00000314380"
"76","ENSP00000315997"
"77","ENSP00000316029"
"78","ENSP00000319713"
"79","ENSP00000320936"
"80","ENSP00000321259"
"81","ENSP00000324422"
"82","ENSP00000332139"
"83","ENSP00000333680"
"84","ENSP00000333779"
"85","ENSP00000338728"
"86","ENSP00000338927"
"87","ENSP00000339328"
"88","ENSP00000339467"
"89","ENSP00000340983"
"90","ENSP00000344218"
"91","ENSP00000344871"
"92","ENSP00000346032"
"93","ENSP00000347197"
"94","ENSP00000347916"
"95","ENSP00000352071"
"96","ENSP00000352400"
"97","ENSP00000353401"
"98","ENSP00000354335"
"99","ENSP00000356505"
"100","ENSP00000357123"
"101","ENSP00000357705"
"102","ENSP00000357709"
"103","ENSP00000357722"
"104","ENSP00000357726"
"105","ENSP00000357727"
"106","ENSP00000357801"
"107","ENSP00000357981"
"108","ENSP00000360871"
"109","ENSP00000361803"
"110","ENSP00000362195"
"111","ENSP00000362410"
"112","ENSP00000362965"
"113","ENSP00000363031"
"114","ENSP00000363040"
"115","ENSP00000363089"
"116","ENSP00000363117"
"117","ENSP00000363512"
"118","ENSP00000364212"
"119","ENSP00000364907"
"120","ENSP00000365048"
"121","ENSP00000365227"
"122","ENSP00000365261"
"123","ENSP00000365435"
"124","ENSP00000366460"
"125","ENSP00000366506"
"126","ENSP00000366525"
"127","ENSP00000366694"
"128","ENSP00000367263"
"129","ENSP00000367851"
"130","ENSP00000368572"
"131","ENSP00000368710"
"132","ENSP00000369286"
"133","ENSP00000370115"
"134","ENSP00000371152"
"135","ENSP00000371193"
"136","ENSP00000375629"
"137","ENSP00000376345"
"138","ENSP00000376395"
"139","ENSP00000376800"
"140","ENSP00000378394"
"141","ENSP00000378856"
"142","ENSP00000378972"
"143","ENSP00000379038"
"144","ENSP00000379563"
"145","ENSP00000380666"
"146","ENSP00000380920"
"147","ENSP00000380948"
"148","ENSP00000381448"
"149","ENSP00000381607"
"150","ENSP00000382707"
"151","ENSP00000382804"
"152","ENSP00000382805"
"153","ENSP00000384359"
"154","ENSP00000384886"
"155","ENSP00000386165"
"156","ENSP00000386807"
"157","ENSP00000387164"
"158","ENSP00000389414"
"159","ENSP00000389631"
"160","ENSP00000391481"
"161","ENSP00000392770"
"162","ENSP00000394842"
"163","ENSP00000399421"
"164","ENSP00000403701"
"165","ENSP00000404236"
"166","ENSP00000407375"
"167","ENSP00000408342"
"168","ENSP00000409171"
"169","ENSP00000413606"
"170","ENSP00000416066"
"171","ENSP00000416330"
"172","ENSP00000419692"
"173","ENSP00000420076"
"174","ENSP00000422375"
"175","ENSP00000428924"
"176","ENSP00000430237"
"177","ENSP00000430886"
"178","ENSP00000431603"
"179","ENSP00000439120"
"180","ENSP00000441858"
"181","ENSP00000444957"
"182","ENSP00000444986"
"183","ENSP00000451112"
"184","ENSP00000451300"
"185","ENSP00000452634"
"186","ENSP00000454157"
"187","ENSP00000461269"
"188","ENSP00000461945"
"189","ENSP00000471493"
"190","ENSP00000473381"
"191","ENSP00000477639"
"192","ENSP00000478561"
"193","ENSP00000479089"
"194","ENSP00000484689"
"195","ENSP00000319883"
"196","ENSP00000348635"
"197","ENSP00000312262"
"198","ENSP00000355778"
"199","ENSP00000357594"
"200","ENSP00000378409"
"201","ENSP00000382731"
"202","ENSP00000427223"
"203","ENSP00000428657"
"204","ENSP00000457421"
"205","ENSP00000479693"
"206","ENSP00000481114"
