"","x"
"1","ENSP00000177694"
"2","ENSP00000215832"
"3","ENSP00000216223"
"4","ENSP00000216338"
"5","ENSP00000216341"
"6","ENSP00000221978"
"7","ENSP00000228463"
"8","ENSP00000229402"
"9","ENSP00000234091"
"10","ENSP00000234313"
"11","ENSP00000235307"
"12","ENSP00000235933"
"13","ENSP00000250559"
"14","ENSP00000259989"
"15","ENSP00000263708"
"16","ENSP00000263863"
"17","ENSP00000264316"
"18","ENSP00000264553"
"19","ENSP00000264972"
"20","ENSP00000267012"
"21","ENSP00000267549"
"22","ENSP00000280258"
"23","ENSP00000291890"
"24","ENSP00000299314"
"25","ENSP00000301272"
"26","ENSP00000303424"
"27","ENSP00000305372"
"28","ENSP00000310219"
"29","ENSP00000311300"
"30","ENSP00000312027"
"31","ENSP00000328472"
"32","ENSP00000336769"
"33","ENSP00000342156"
"34","ENSP00000342215"
"35","ENSP00000343204"
"36","ENSP00000344095"
"37","ENSP00000351059"
"38","ENSP00000354782"
"39","ENSP00000356792"
"40","ENSP00000356793"
"41","ENSP00000356906"
"42","ENSP00000356946"
"43","ENSP00000357086"
"44","ENSP00000357122"
"45","ENSP00000360687"
"46","ENSP00000362082"
"47","ENSP00000370419"
"48","ENSP00000371333"
"49","ENSP00000375608"
"50","ENSP00000378485"
"51","ENSP00000379097"
"52","ENSP00000380958"
"53","ENSP00000386187"
"54","ENSP00000398568"
"55","ENSP00000399700"
"56","ENSP00000419378"
"57","ENSP00000420384"
"58","ENSP00000438038"
"59","ENSP00000444533"
"60","ENSP00000450527"
"61","ENSP00000462521"
"62","ENSP00000477908"
"63","ENSP00000479664"
"64","ENSP00000482259"
"65","ENSP00000483713"
"66","ENSP00000484689"
"67","ENSP00000455215"
"68","ENSP00000483599"
"69","ENSP00000483609"
