"","x"
"1","ENSP00000005226"
"2","ENSP00000085068"
"3","ENSP00000194130"
"4","ENSP00000203407"
"5","ENSP00000205557"
"6","ENSP00000215531"
"7","ENSP00000215754"
"8","ENSP00000215886"
"9","ENSP00000216075"
"10","ENSP00000216218"
"11","ENSP00000216780"
"12","ENSP00000217426"
"13","ENSP00000217971"
"14","ENSP00000218230"
"15","ENSP00000219599"
"16","ENSP00000220166"
"17","ENSP00000221418"
"18","ENSP00000228318"
"19","ENSP00000228476"
"20","ENSP00000229379"
"21","ENSP00000230048"
"22","ENSP00000230431"
"23","ENSP00000231420"
"24","ENSP00000231887"
"25","ENSP00000235835"
"26","ENSP00000237889"
"27","ENSP00000241052"
"28","ENSP00000244137"
"29","ENSP00000245185"
"30","ENSP00000246069"
"31","ENSP00000246747"
"32","ENSP00000250101"
"33","ENSP00000250244"
"34","ENSP00000252486"
"35","ENSP00000253719"
"36","ENSP00000255082"
"37","ENSP00000255192"
"38","ENSP00000255681"
"39","ENSP00000256644"
"40","ENSP00000258424"
"41","ENSP00000258874"
"42","ENSP00000259782"
"43","ENSP00000260118"
"44","ENSP00000260187"
"45","ENSP00000260599"
"46","ENSP00000260649"
"47","ENSP00000261313"
"48","ENSP00000261733"
"49","ENSP00000261811"
"50","ENSP00000262305"
"51","ENSP00000262626"
"52","ENSP00000262746"
"53","ENSP00000263038"
"54","ENSP00000263182"
"55","ENSP00000263278"
"56","ENSP00000263317"
"57","ENSP00000263735"
"58","ENSP00000263816"
"59","ENSP00000264335"
"60","ENSP00000264601"
"61","ENSP00000265074"
"62","ENSP00000265162"
"63","ENSP00000265395"
"64","ENSP00000265462"
"65","ENSP00000265605"
"66","ENSP00000265838"
"67","ENSP00000266560"
"68","ENSP00000266980"
"69","ENSP00000267814"
"70","ENSP00000267842"
"71","ENSP00000269159"
"72","ENSP00000269298"
"73","ENSP00000269593"
"74","ENSP00000270142"
"75","ENSP00000270570"
"76","ENSP00000272425"
"77","ENSP00000273450"
"78","ENSP00000273550"
"79","ENSP00000274353"
"80","ENSP00000276590"
"81","ENSP00000276651"
"82","ENSP00000279027"
"83","ENSP00000281243"
"84","ENSP00000283871"
"85","ENSP00000284031"
"86","ENSP00000284240"
"87","ENSP00000285093"
"88","ENSP00000285379"
"89","ENSP00000287295"
"90","ENSP00000289004"
"91","ENSP00000290349"
"92","ENSP00000291670"
"93","ENSP00000292079"
"94","ENSP00000292401"
"95","ENSP00000292539"
"96","ENSP00000294338"
"97","ENSP00000295834"
"98","ENSP00000295897"
"99","ENSP00000296412"
"100","ENSP00000296424"
"101","ENSP00000296658"
"102","ENSP00000296776"
"103","ENSP00000298248"
"104","ENSP00000298510"
"105","ENSP00000298569"
"106","ENSP00000299155"
"107","ENSP00000299299"
"108","ENSP00000299339"
"109","ENSP00000300060"
"110","ENSP00000300079"
"111","ENSP00000300784"
"112","ENSP00000301149"
"113","ENSP00000301175"
"114","ENSP00000301522"
"115","ENSP00000303148"
"116","ENSP00000303222"
"117","ENSP00000303356"
"118","ENSP00000304593"
"119","ENSP00000304811"
"120","ENSP00000305302"
"121","ENSP00000306099"
"122","ENSP00000306888"
"123","ENSP00000307706"
"124","ENSP00000308938"
"125","ENSP00000309477"
"126","ENSP00000310623"
"127","ENSP00000311095"
"128","ENSP00000311165"
"129","ENSP00000313391"
"130","ENSP00000313432"
"131","ENSP00000313921"
"132","ENSP00000315774"
"133","ENSP00000316628"
"134","ENSP00000317379"
"135","ENSP00000317721"
"136","ENSP00000317842"
"137","ENSP00000318868"
"138","ENSP00000319531"
"139","ENSP00000319814"
"140","ENSP00000320378"
"141","ENSP00000321271"
"142","ENSP00000321424"
"143","ENSP00000321999"
"144","ENSP00000324124"
"145","ENSP00000325548"
"146","ENSP00000326219"
"147","ENSP00000326671"
"148","ENSP00000327453"
"149","ENSP00000327943"
"150","ENSP00000330587"
"151","ENSP00000330787"
"152","ENSP00000331019"
"153","ENSP00000331209"
"154","ENSP00000331698"
"155","ENSP00000333664"
"156","ENSP00000333666"
"157","ENSP00000334872"
"158","ENSP00000335620"
"159","ENSP00000337065"
"160","ENSP00000337335"
"161","ENSP00000339260"
"162","ENSP00000339720"
"163","ENSP00000340176"
"164","ENSP00000340684"
"165","ENSP00000340820"
"166","ENSP00000341625"
"167","ENSP00000345774"
"168","ENSP00000346103"
"169","ENSP00000346173"
"170","ENSP00000346768"
"171","ENSP00000346921"
"172","ENSP00000348459"
"173","ENSP00000348471"
"174","ENSP00000348888"
"175","ENSP00000349588"
"176","ENSP00000350509"
"177","ENSP00000351118"
"178","ENSP00000351619"
"179","ENSP00000352706"
"180","ENSP00000354643"
"181","ENSP00000354762"
"182","ENSP00000354826"
"183","ENSP00000355377"
"184","ENSP00000355920"
"185","ENSP00000356169"
"186","ENSP00000356790"
"187","ENSP00000356820"
"188","ENSP00000356864"
"189","ENSP00000356953"
"190","ENSP00000357535"
"191","ENSP00000357625"
"192","ENSP00000358417"
"193","ENSP00000358794"
"194","ENSP00000358903"
"195","ENSP00000359225"
"196","ENSP00000359795"
"197","ENSP00000359871"
"198","ENSP00000360147"
"199","ENSP00000360492"
"200","ENSP00000360577"
"201","ENSP00000360671"
"202","ENSP00000361072"
"203","ENSP00000361083"
"204","ENSP00000361140"
"205","ENSP00000361207"
"206","ENSP00000361471"
"207","ENSP00000362817"
"208","ENSP00000363500"
"209","ENSP00000363641"
"210","ENSP00000363988"
"211","ENSP00000364263"
"212","ENSP00000364490"
"213","ENSP00000364699"
"214","ENSP00000364986"
"215","ENSP00000365081"
"216","ENSP00000365773"
"217","ENSP00000366525"
"218","ENSP00000366702"
"219","ENSP00000366797"
"220","ENSP00000367064"
"221","ENSP00000367086"
"222","ENSP00000367102"
"223","ENSP00000367309"
"224","ENSP00000367828"
"225","ENSP00000367939"
"226","ENSP00000368517"
"227","ENSP00000368758"
"228","ENSP00000369314"
