"","x"
"1","ENSP00000053243"
"2","ENSP00000185150"
"3","ENSP00000216037"
"4","ENSP00000221972"
"5","ENSP00000226279"
"6","ENSP00000248958"
"7","ENSP00000265044"
"8","ENSP00000286091"
"9","ENSP00000299767"
"10","ENSP00000300961"
"11","ENSP00000303920"
"12","ENSP00000317331"
"13","ENSP00000320509"
"14","ENSP00000322730"
"15","ENSP00000340874"
"16","ENSP00000354691"
"17","ENSP00000356607"
"18","ENSP00000363391"
"19","ENSP00000365692"
"20","ENSP00000368646"
"21","ENSP00000369081"
"22","ENSP00000370542"
"23","ENSP00000376786"
"24","ENSP00000378046"
"25","ENSP00000382767"
"26","ENSP00000384744"
"27","ENSP00000409555"
"28","ENSP00000431254"
"29","ENSP00000433277"
"30","ENSP00000449751"
"31","ENSP00000451261"
"32","ENSP00000468633"
"33","ENSP00000262947"
"34","ENSP00000254801"
"35","ENSP00000392553"
"36","ENSP00000335040"
