"","x"
"1","ENSP00000239938"
"2","ENSP00000242728"
"3","ENSP00000244745"
"4","ENSP00000245414"
"5","ENSP00000246672"
"6","ENSP00000248071"
"7","ENSP00000285407"
"8","ENSP00000303315"
"9","ENSP00000306245"
"10","ENSP00000331608"
"11","ENSP00000336790"
"12","ENSP00000341843"
"13","ENSP00000343619"
"14","ENSP00000344352"
"15","ENSP00000345393"
"16","ENSP00000354394"
"17","ENSP00000360266"
"18","ENSP00000363804"
"19","ENSP00000364430"
"20","ENSP00000380034"
"21","ENSP00000386165"
"22","ENSP00000393198"
"23","ENSP00000395654"
"24","ENSP00000396843"
"25","ENSP00000419923"
"26","ENSP00000448665"
"27","ENSP00000471921"
"28","ENSP00000479618"
