"","x"
"1","ENSP00000203407"
"2","ENSP00000215531"
"3","ENSP00000216075"
"4","ENSP00000216780"
"5","ENSP00000218230"
"6","ENSP00000220166"
"7","ENSP00000228318"
"8","ENSP00000228476"
"9","ENSP00000230431"
"10","ENSP00000231420"
"11","ENSP00000233893"
"12","ENSP00000241052"
"13","ENSP00000244137"
"14","ENSP00000250244"
"15","ENSP00000252486"
"16","ENSP00000255681"
"17","ENSP00000256644"
"18","ENSP00000260118"
"19","ENSP00000260599"
"20","ENSP00000261313"
"21","ENSP00000261733"
"22","ENSP00000262305"
"23","ENSP00000262428"
"24","ENSP00000263038"
"25","ENSP00000263816"
"26","ENSP00000265838"
"27","ENSP00000267814"
"28","ENSP00000267842"
"29","ENSP00000269298"
"30","ENSP00000272425"
"31","ENSP00000273450"
"32","ENSP00000274353"
"33","ENSP00000276651"
"34","ENSP00000279027"
"35","ENSP00000281243"
"36","ENSP00000284240"
"37","ENSP00000285093"
"38","ENSP00000285379"
"39","ENSP00000287295"
"40","ENSP00000289004"
"41","ENSP00000291670"
"42","ENSP00000292401"
"43","ENSP00000294338"
"44","ENSP00000295834"
"45","ENSP00000295897"
"46","ENSP00000296424"
"47","ENSP00000296776"
"48","ENSP00000298248"
"49","ENSP00000299155"
"50","ENSP00000300079"
"51","ENSP00000301149"
"52","ENSP00000301175"
"53","ENSP00000303356"
"54","ENSP00000304697"
"55","ENSP00000305302"
"56","ENSP00000306888"
"57","ENSP00000308938"
"58","ENSP00000310623"
"59","ENSP00000311095"
"60","ENSP00000313432"
"61","ENSP00000313921"
"62","ENSP00000316628"
"63","ENSP00000317379"
"64","ENSP00000317721"
"65","ENSP00000319531"
"66","ENSP00000319814"
"67","ENSP00000320378"
"68","ENSP00000321424"
"69","ENSP00000321999"
"70","ENSP00000326219"
"71","ENSP00000326671"
"72","ENSP00000327453"
"73","ENSP00000327943"
"74","ENSP00000330587"
"75","ENSP00000330787"
"76","ENSP00000331209"
"77","ENSP00000333664"
"78","ENSP00000333666"
"79","ENSP00000334872"
"80","ENSP00000335620"
"81","ENSP00000337335"
"82","ENSP00000339720"
"83","ENSP00000346173"
"84","ENSP00000348471"
"85","ENSP00000348888"
"86","ENSP00000349467"
"87","ENSP00000349588"
"88","ENSP00000351619"
"89","ENSP00000354643"
"90","ENSP00000355377"
"91","ENSP00000357535"
"92","ENSP00000358903"
"93","ENSP00000359871"
"94","ENSP00000360147"
"95","ENSP00000360498"
"96","ENSP00000360671"
"97","ENSP00000361140"
"98","ENSP00000361207"
"99","ENSP00000361471"
"100","ENSP00000363641"
"101","ENSP00000363988"
"102","ENSP00000364490"
"103","ENSP00000364699"
"104","ENSP00000364986"
"105","ENSP00000365081"
"106","ENSP00000365773"
"107","ENSP00000366525"
"108","ENSP00000366797"
"109","ENSP00000367064"
"110","ENSP00000367102"
"111","ENSP00000367123"
"112","ENSP00000368758"
"113","ENSP00000369822"
"114","ENSP00000373477"
"115","ENSP00000373860"
"116","ENSP00000376807"
"117","ENSP00000376911"
"118","ENSP00000377303"
"119","ENSP00000377446"
"120","ENSP00000378743"
"121","ENSP00000378757"
"122","ENSP00000378782"
"123","ENSP00000379326"
"124","ENSP00000379339"
"125","ENSP00000379386"
"126","ENSP00000379845"
"127","ENSP00000379895"
"128","ENSP00000380666"
"129","ENSP00000384296"
"130","ENSP00000385828"
"131","ENSP00000391397"
"132","ENSP00000393557"
"133","ENSP00000397843"
"134","ENSP00000401720"
"135","ENSP00000403104"
"136","ENSP00000403644"
"137","ENSP00000408025"
"138","ENSP00000416126"
"139","ENSP00000418525"
"140","ENSP00000420168"
"141","ENSP00000439012"
"142","ENSP00000448059"
"143","ENSP00000450436"
"144","ENSP00000468767"
"145","ENSP00000474560"
"146","ENSP00000481732"
"147","ENSP00000483507"
"148","ENSP00000484592"
"149","ENSP00000243997"
"150","ENSP00000254878"
"151","ENSP00000284727"
"152","ENSP00000354499"
"153","ENSP00000354554"
"154","ENSP00000354632"
"155","ENSP00000354665"
"156","ENSP00000354687"
"157","ENSP00000354728"
"158","ENSP00000354813"
"159","ENSP00000354876"
"160","ENSP00000354961"
"161","ENSP00000354982"
"162","ENSP00000355046"
"163","ENSP00000355206"
"164","ENSP00000355265"
"165","ENSP00000381736"
"166","ENSP00000401770"
"167","ENSP00000420939"
