"","x"
"1","ENSP00000005178"
"2","ENSP00000054950"
"3","ENSP00000200453"
"4","ENSP00000200691"
"5","ENSP00000215631"
"6","ENSP00000215754"
"7","ENSP00000215909"
"8","ENSP00000216797"
"9","ENSP00000218388"
"10","ENSP00000222543"
"11","ENSP00000222572"
"12","ENSP00000222693"
"13","ENSP00000223095"
"14","ENSP00000223357"
"15","ENSP00000225777"
"16","ENSP00000227507"
"17","ENSP00000228251"
"18","ENSP00000229239"
"19","ENSP00000229270"
"20","ENSP00000231004"
"21","ENSP00000231061"
"22","ENSP00000233143"
"23","ENSP00000233735"
"24","ENSP00000233813"
"25","ENSP00000234590"
"26","ENSP00000236671"
"27","ENSP00000239223"
"28","ENSP00000239938"
"29","ENSP00000241261"
"30","ENSP00000242729"
"31","ENSP00000243347"
"32","ENSP00000245903"
"33","ENSP00000245907"
"34","ENSP00000245919"
"35","ENSP00000248089"
"36","ENSP00000248564"
"37","ENSP00000250457"
"38","ENSP00000252593"
"39","ENSP00000252809"
"40","ENSP00000254301"
"41","ENSP00000257696"
"42","ENSP00000260227"
"43","ENSP00000262394"
"44","ENSP00000262776"
"45","ENSP00000263464"
"46","ENSP00000264613"
"47","ENSP00000265052"
"48","ENSP00000265071"
"49","ENSP00000270221"
"50","ENSP00000271638"
"51","ENSP00000272233"
"52","ENSP00000275493"
"53","ENSP00000275767"
"54","ENSP00000276914"
"55","ENSP00000278407"
"56","ENSP00000281938"
"57","ENSP00000282903"
"58","ENSP00000285871"
"59","ENSP00000285930"
"60","ENSP00000287156"
"61","ENSP00000290551"
"62","ENSP00000292169"
"63","ENSP00000294728"
"64","ENSP00000296511"
"65","ENSP00000297439"
"66","ENSP00000297991"
"67","ENSP00000299759"
"68","ENSP00000301071"
"69","ENSP00000301072"
"70","ENSP00000301244"
"71","ENSP00000301246"
"72","ENSP00000301455"
"73","ENSP00000302100"
"74","ENSP00000303315"
"75","ENSP00000305260"
"76","ENSP00000305422"
"77","ENSP00000306245"
"78","ENSP00000307305"
"79","ENSP00000307900"
"80","ENSP00000315130"
"81","ENSP00000317272"
"82","ENSP00000317891"
"83","ENSP00000318803"
"84","ENSP00000320171"
"85","ENSP00000326737"
"86","ENSP00000327336"
"87","ENSP00000327801"
"88","ENSP00000328325"
"89","ENSP00000330945"
"90","ENSP00000336799"
"91","ENSP00000336829"
"92","ENSP00000339001"
"93","ENSP00000339191"
"94","ENSP00000339398"
"95","ENSP00000340691"
"96","ENSP00000341170"
"97","ENSP00000341885"
"98","ENSP00000344352"
"99","ENSP00000346032"
"100","ENSP00000351022"
"101","ENSP00000354468"
"102","ENSP00000354826"
"103","ENSP00000355124"
"104","ENSP00000355330"
"105","ENSP00000357076"
"106","ENSP00000357392"
"107","ENSP00000357429"
"108","ENSP00000357625"
"109","ENSP00000357688"
"110","ENSP00000357709"
"111","ENSP00000357801"
"112","ENSP00000360266"
"113","ENSP00000360305"
"114","ENSP00000360522"
"115","ENSP00000361458"
"116","ENSP00000361761"
"117","ENSP00000362413"
"118","ENSP00000362814"
"119","ENSP00000363391"
"120","ENSP00000363993"
"121","ENSP00000364016"
"122","ENSP00000364080"
"123","ENSP00000365402"
"124","ENSP00000365505"
"125","ENSP00000366109"
"126","ENSP00000366249"
"127","ENSP00000367263"
"128","ENSP00000367608"
"129","ENSP00000368646"
"130","ENSP00000368683"
"131","ENSP00000369146"
"132","ENSP00000370473"
"133","ENSP00000370517"
"134","ENSP00000371958"
"135","ENSP00000373487"
"136","ENSP00000375859"
"137","ENSP00000377411"
"138","ENSP00000377549"
"139","ENSP00000377710"
"140","ENSP00000377833"
"141","ENSP00000378669"
"142","ENSP00000379003"
"143","ENSP00000379873"
"144","ENSP00000380553"
"145","ENSP00000380565"
"146","ENSP00000382707"
"147","ENSP00000382804"
"148","ENSP00000384849"
"149","ENSP00000385035"
"150","ENSP00000385451"
"151","ENSP00000386165"
"152","ENSP00000386187"
"153","ENSP00000388337"
"154","ENSP00000388402"
"155","ENSP00000395474"
"156","ENSP00000397157"
"157","ENSP00000397435"
"158","ENSP00000399168"
"159","ENSP00000404833"
"160","ENSP00000404854"
"161","ENSP00000405573"
"162","ENSP00000405950"
"163","ENSP00000406261"
"164","ENSP00000409544"
"165","ENSP00000412927"
"166","ENSP00000413436"
"167","ENSP00000416066"
"168","ENSP00000416330"
"169","ENSP00000417626"
"170","ENSP00000418009"
"171","ENSP00000419923"
"172","ENSP00000420612"
"173","ENSP00000423665"
"174","ENSP00000426119"
"175","ENSP00000426455"
"176","ENSP00000428572"
"177","ENSP00000433560"
"178","ENSP00000436607"
"179","ENSP00000436897"
"180","ENSP00000437402"
"181","ENSP00000441434"
"182","ENSP00000441543"
"183","ENSP00000444198"
"184","ENSP00000445175"
"185","ENSP00000446007"
"186","ENSP00000446252"
"187","ENSP00000447730"
"188","ENSP00000449404"
"189","ENSP00000449756"
"190","ENSP00000452780"
"191","ENSP00000457243"
"192","ENSP00000462521"
"193","ENSP00000463978"
"194","ENSP00000465617"
"195","ENSP00000469647"
"196","ENSP00000470972"
"197","ENSP00000478425"
"198","ENSP00000478570"
"199","ENSP00000479618"
"200","ENSP00000480483"
"201","ENSP00000483430"
"202","ENSP00000264161"
"203","ENSP00000298295"
"204","ENSP00000307292"
"205","ENSP00000356093"
"206","ENSP00000359991"
"207","ENSP00000384564"
"208","ENSP00000398736"
"209","ENSP00000440765"
"210","ENSP00000482169"
"211","ENSP00000483985"
