"","x"
"1","ENSP00000227266"
"2","ENSP00000279873"
"3","ENSP00000286639"
"4","ENSP00000301202"
"5","ENSP00000303939"
"6","ENSP00000306190"
"7","ENSP00000319476"
"8","ENSP00000326432"
"9","ENSP00000328207"
"10","ENSP00000338703"
"11","ENSP00000344609"
"12","ENSP00000357448"
"13","ENSP00000359488"
"14","ENSP00000362201"
"15","ENSP00000362894"
"16","ENSP00000364765"
"17","ENSP00000364858"
"18","ENSP00000365380"
"19","ENSP00000365692"
"20","ENSP00000366746"
"21","ENSP00000366863"
"22","ENSP00000368538"
"23","ENSP00000369293"
"24","ENSP00000377471"
"25","ENSP00000403042"
"26","ENSP00000410481"
"27","ENSP00000412869"
"28","ENSP00000419085"
"29","ENSP00000432218"
