"","x"
"1","ENSP00000005178"
"2","ENSP00000005226"
"3","ENSP00000054950"
"4","ENSP00000085068"
"5","ENSP00000166139"
"6","ENSP00000175091"
"7","ENSP00000178638"
"8","ENSP00000194130"
"9","ENSP00000200691"
"10","ENSP00000215754"
"11","ENSP00000215886"
"12","ENSP00000216218"
"13","ENSP00000217971"
"14","ENSP00000218230"
"15","ENSP00000218388"
"16","ENSP00000222543"
"17","ENSP00000222573"
"18","ENSP00000222693"
"19","ENSP00000222747"
"20","ENSP00000223095"
"21","ENSP00000223357"
"22","ENSP00000227507"
"23","ENSP00000228251"
"24","ENSP00000229239"
"25","ENSP00000229270"
"26","ENSP00000230431"
"27","ENSP00000231004"
"28","ENSP00000233156"
"29","ENSP00000233735"
"30","ENSP00000234590"
"31","ENSP00000236671"
"32","ENSP00000239938"
"33","ENSP00000241261"
"34","ENSP00000245185"
"35","ENSP00000245903"
"36","ENSP00000245907"
"37","ENSP00000246069"
"38","ENSP00000248089"
"39","ENSP00000248564"
"40","ENSP00000250457"
"41","ENSP00000251566"
"42","ENSP00000252809"
"43","ENSP00000254301"
"44","ENSP00000255192"
"45","ENSP00000256644"
"46","ENSP00000257696"
"47","ENSP00000260227"
"48","ENSP00000260599"
"49","ENSP00000260649"
"50","ENSP00000261313"
"51","ENSP00000261783"
"52","ENSP00000261811"
"53","ENSP00000262626"
"54","ENSP00000262776"
"55","ENSP00000262942"
"56","ENSP00000263182"
"57","ENSP00000263334"
"58","ENSP00000263464"
"59","ENSP00000263816"
"60","ENSP00000264335"
"61","ENSP00000264344"
"62","ENSP00000264613"
"63","ENSP00000265052"
"64","ENSP00000265071"
"65","ENSP00000265162"
"66","ENSP00000265333"
"67","ENSP00000265395"
"68","ENSP00000265462"
"69","ENSP00000265838"
"70","ENSP00000266560"
"71","ENSP00000269593"
"72","ENSP00000272233"
"73","ENSP00000272425"
"74","ENSP00000273550"
"75","ENSP00000274353"
"76","ENSP00000275493"
"77","ENSP00000275767"
"78","ENSP00000276590"
"79","ENSP00000276914"
"80","ENSP00000278407"
"81","ENSP00000281456"
"82","ENSP00000281938"
"83","ENSP00000282903"
"84","ENSP00000284981"
"85","ENSP00000285871"
"86","ENSP00000285930"
"87","ENSP00000292079"
"88","ENSP00000292169"
"89","ENSP00000292852"
"90","ENSP00000294338"
"91","ENSP00000294728"
"92","ENSP00000295666"
"93","ENSP00000296658"
"94","ENSP00000296930"
"95","ENSP00000297439"
"96","ENSP00000297679"
"97","ENSP00000297785"
"98","ENSP00000297991"
"99","ENSP00000298248"
"100","ENSP00000299198"
"101","ENSP00000299299"
"102","ENSP00000299759"
