"","x"
"1","ENSP00000006015"
"2","ENSP00000007414"
"3","ENSP00000011653"
"4","ENSP00000014914"
"5","ENSP00000039989"
"6","ENSP00000040584"
"7","ENSP00000040877"
"8","ENSP00000052754"
"9","ENSP00000055077"
"10","ENSP00000075120"
"11","ENSP00000078445"
"12","ENSP00000157600"
"13","ENSP00000158771"
"14","ENSP00000162391"
"15","ENSP00000171757"
"16","ENSP00000176763"
"17","ENSP00000184956"
"18","ENSP00000193322"
"19","ENSP00000194214"
"20","ENSP00000194530"
"21","ENSP00000196061"
"22","ENSP00000199814"
"23","ENSP00000201979"
"24","ENSP00000203556"
"25","ENSP00000204549"
"26","ENSP00000204604"
"27","ENSP00000204726"
"28","ENSP00000205948"
"29","ENSP00000206542"
"30","ENSP00000209873"
"31","ENSP00000215071"
"32","ENSP00000215659"
"33","ENSP00000215743"
"34","ENSP00000215862"
"35","ENSP00000215909"
"36","ENSP00000216085"
"37","ENSP00000216214"
"38","ENSP00000216733"
"39","ENSP00000217026"
"40","ENSP00000217131"
"41","ENSP00000217195"
"42","ENSP00000217407"
"43","ENSP00000217740"
"44","ENSP00000218104"
"45","ENSP00000219169"
"46","ENSP00000219281"
"47","ENSP00000219782"
"48","ENSP00000220592"
"49","ENSP00000220597"
"50","ENSP00000220809"
"51","ENSP00000221419"
"52","ENSP00000221452"
"53","ENSP00000221455"
"54","ENSP00000221847"
"55","ENSP00000222247"
"56","ENSP00000222543"
"57","ENSP00000223095"
"58","ENSP00000223357"
"59","ENSP00000224807"
"60","ENSP00000225171"
"61","ENSP00000225430"
"62","ENSP00000225609"
"63","ENSP00000225964"
"64","ENSP00000225972"
"65","ENSP00000226218"
"66","ENSP00000227451"
"67","ENSP00000227638"
"68","ENSP00000228251"
"69","ENSP00000228515"
"70","ENSP00000228918"
"71","ENSP00000228928"
"72","ENSP00000229239"
"73","ENSP00000229270"
"74","ENSP00000230050"
"75","ENSP00000230056"
"76","ENSP00000230340"
"77","ENSP00000230538"
"78","ENSP00000231136"
"79","ENSP00000231198"
"80","ENSP00000231461"
"81","ENSP00000231484"
"82","ENSP00000232564"
"83","ENSP00000232744"
"84","ENSP00000232978"
"85","ENSP00000233202"
"86","ENSP00000233468"
"87","ENSP00000233557"
"88","ENSP00000233630"
"89","ENSP00000234160"
"90","ENSP00000234310"
"91","ENSP00000234420"
"92","ENSP00000236192"
"93","ENSP00000236850"
"94","ENSP00000236959"
"95","ENSP00000237264"
"96","ENSP00000237536"
"97","ENSP00000238112"
"98","ENSP00000239449"
"99","ENSP00000239461"
"100","ENSP00000239614"
"101","ENSP00000240662"
"102","ENSP00000242776"
"103","ENSP00000242827"
"104","ENSP00000243077"
"105","ENSP00000243347"
"106","ENSP00000243563"
"107","ENSP00000243786"
"108","ENSP00000243903"
"109","ENSP00000244020"
"110","ENSP00000244043"
