"","x"
"1","ENSP00000009530"
"2","ENSP00000053867"
"3","ENSP00000215886"
"4","ENSP00000216802"
"5","ENSP00000217131"
"6","ENSP00000217195"
"7","ENSP00000225777"
"8","ENSP00000226299"
"9","ENSP00000226951"
"10","ENSP00000227163"
"11","ENSP00000227507"
"12","ENSP00000230085"
"13","ENSP00000233143"
"14","ENSP00000234091"
"15","ENSP00000234313"
"16","ENSP00000241453"
"17","ENSP00000243440"
"18","ENSP00000248598"
"19","ENSP00000253719"
"20","ENSP00000254667"
"21","ENSP00000254722"
"22","ENSP00000261267"
"23","ENSP00000261733"
"24","ENSP00000261776"
"25","ENSP00000262428"
"26","ENSP00000262878"
"27","ENSP00000262958"
"28","ENSP00000263372"
"29","ENSP00000267953"
"30","ENSP00000268638"
"31","ENSP00000274963"
"32","ENSP00000278568"
"33","ENSP00000283290"
"34","ENSP00000286733"
"35","ENSP00000289707"
"36","ENSP00000291700"
"37","ENSP00000293778"
"38","ENSP00000298966"
"39","ENSP00000301244"
"40","ENSP00000302046"
"41","ENSP00000302569"
"42","ENSP00000310405"
"43","ENSP00000312029"
"44","ENSP00000313158"
"45","ENSP00000318822"
"46","ENSP00000319281"
"47","ENSP00000320563"
"48","ENSP00000321853"
"49","ENSP00000323435"
"50","ENSP00000324422"
"51","ENSP00000328397"
"52","ENSP00000329797"
"53","ENSP00000332151"
"54","ENSP00000338728"
"55","ENSP00000339398"
"56","ENSP00000339740"
"57","ENSP00000341610"
"58","ENSP00000344218"
"59","ENSP00000347134"
"60","ENSP00000348074"
"61","ENSP00000349960"
"62","ENSP00000353099"
"63","ENSP00000354335"
"64","ENSP00000354468"
"65","ENSP00000354901"
"66","ENSP00000355996"
"67","ENSP00000356465"
"68","ENSP00000356549"
"69","ENSP00000357022"
"70","ENSP00000357076"
"71","ENSP00000357283"
"72","ENSP00000357801"
"73","ENSP00000358098"
"74","ENSP00000358099"
"75","ENSP00000358460"
"76","ENSP00000360269"
"77","ENSP00000361359"
"78","ENSP00000362329"
"79","ENSP00000362638"
"80","ENSP00000362924"
"81","ENSP00000363641"
"82","ENSP00000363804"
"83","ENSP00000363976"
"84","ENSP00000364076"
"85","ENSP00000364080"
"86","ENSP00000364114"
"87","ENSP00000368450"
"88","ENSP00000368664"
"89","ENSP00000369286"
"90","ENSP00000370010"
"91","ENSP00000370074"
"92","ENSP00000370115"
"93","ENSP00000371194"
"94","ENSP00000376889"
"95","ENSP00000377941"
"96","ENSP00000378053"
"97","ENSP00000378786"
"98","ENSP00000378856"
"99","ENSP00000379658"
"100","ENSP00000381448"
"101","ENSP00000381607"
"102","ENSP00000387164"
"103","ENSP00000390020"
"104","ENSP00000390431"
"105","ENSP00000393566"
"106","ENSP00000394863"
"107","ENSP00000398890"
"108","ENSP00000399888"
"109","ENSP00000407375"
"110","ENSP00000408146"
"111","ENSP00000429900"
"112","ENSP00000430950"
"113","ENSP00000433999"
"114","ENSP00000444986"
"115","ENSP00000446007"
"116","ENSP00000461945"
"117","ENSP00000477538"
"118","ENSP00000477590"
"119","ENSP00000480966"
"120","ENSP00000485010"
"121","ENSP00000347532"
"122","ENSP00000347495"
"123","ENSP00000394227"
"124","ENSP00000423563"
"125","ENSP00000427223"
"126","ENSP00000447057"
"127","ENSP00000479762"
